representative	genome
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.116_93.07_6.45
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.78_95.69_6.68
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.127_95.70_7.35
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.79_94.78_7.05
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.140_97.04_7.71
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.53_95.53_6.85
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T2.F3.trimmomatic.megahit_bin.46_95.18_6.81
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.None.R3.T0.trimmomatic.megahit_bin.226_96.10_7.08
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.110_96.36_8.29
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.23_92.81_6.25
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T3.F3.trimmomatic.megahit_bin.127_96.80_8.08
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.57_95.28_6.45
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T1.F3.trimmomatic.metaspades_bin.79_71.02_1.72
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.24_94.57_6.81
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.37_91.22_6.22
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.99_91.47_6.63
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.158_93.60_8.55
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.78_94.68_7.45
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T2.F3.trimmomatic.metaspades_bin.104_96.20_8.50
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	20120700_S1D_50
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.66_94.61_7.53
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Fen.Labelled.R1.T3.F4.JGI.BFC.metaspades_bin.24_91.85_7.90
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	PLBG01
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.43_92.43_6.87
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T1.F3.trimmomatic.megahit_bin.30_93.43_6.86
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.71_94.66_8.50
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.55_94.39_8.54
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T1.F3.trimmomatic.megahit_bin.51_73.58_1.68
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.96_93.72_7.84
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.24_92.62_7.36
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.34_83.75_6.05
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Fen.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.68_74.20_4.12
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	20140700_S12_5
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.83_95.48_8.08
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T2.F2.trimmomatic.megahit_bin.40_89.84_7.87
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.9_93.06_7.66
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T1.F3.trimmomatic.megahit_bin.17_85.48_6.79
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.58_90.32_7.40
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.None.R2.T0.JGI.BFC.metaspades_bin.193_90.81_7.55
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.60_85.15_6.18
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	20120600_S2M_12
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.95_92.26_8.95
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.85_87.91_6.58
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.61_72.96_4.83
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.42_76.30_5.32
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.21_70.59_3.67
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Fen.Labelled.R1.T3.F3.trimmomatic.megahit_bin.35_78.45_5.74
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.101_78.24_6.44
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.31_76.33_6.22
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	20160700_S23_4
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.108_79.53_7.00
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.76_77.73_6.56
Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10	Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.20_78.13_6.91
20120700_P1M_6	20120700_P1M_6
20120700_P1M_6	20110800_P3M_12
20120700_P1M_6	20110700_P3M_1
20150700_P15_9	20150700_P15_9
20150700_P15_9	20150700_P31_2
20150700_P15_9	20150700_P14_9
20150700_P15_9	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.57_97.01_2.05
20150700_P15_9	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.28_97.95_1.41
20150700_P15_9	Palsa.Labelled.R2.T2.F3.trimmomatic.megahit_bin.65_96.67_1.37
20150700_P15_9	Palsa.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.61_96.44_2.05
20150700_P15_9	20150700_P23_5
20150700_P15_9	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.92_93.71_1.37
20150700_P15_9	20110700_P3M_10
20150700_P15_9	Palsa.Labelled.R3.T2.F2.trimmomatic.megahit_bin.27_98.35_2.11
20150700_P15_9	Palsa.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.57_94.04_0.68
20150700_P15_9	Palsa.Labelled.R3.T2.F2.trimmomatic.metaspades_bin.5_97.75_2.74
20150700_P15_9	20110700_P2M_5
20150700_P15_9	Palsa.Labelled.R3.T2.F3.trimmomatic.megahit_bin.73_97.54_2.89
20150700_P15_9	20120800_P2M_3
20150700_P15_9	Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.161_93.17_1.37
20150700_P15_9	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.171_97.95_3.08
20150700_P15_9	Palsa.Labelled.R2.T2.F3.trimmomatic.metaspades_bin.31_93.59_2.05
20150700_P15_9	Palsa.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.45_96.39_1.79
20150700_P15_9	20120500_P22_7
20150700_P15_9	PLKS01
20150700_P15_9	Palsa.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.71_92.61_2.05
20150700_P15_9	20160700_P13_1
20150700_P15_9	20150700_P13_5
20150700_P15_9	Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.153_90.75_1.52
20150700_P15_9	Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.166_88.18_0.68
20150700_P15_9	Palsa.Labelled.R3.T2.F2.JGI.BFC.metaspades_bin.36_89.27_1.37
20150700_P15_9	Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.67_90.25_1.37
20150700_P15_9	3300028801_8
20150700_P15_9	Palsa.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.19_84.33_0.34
20150700_P15_9	Palsa.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.50_95.65_3.00
20150700_P15_9	Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.4_90.91_2.05
20150700_P15_9	Palsa.Labelled.R2.T3.F2.trimmomatic.metaspades_bin.2_91.38_2.74
20150700_P15_9	Palsa.Labelled.R2.T3.F2.trimmomatic.megahit_bin.11_88.96_1.46
20150700_P15_9	Palsa.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.104_88.04_1.37
20150700_P15_9	Palsa.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.43_93.57_3.56
20150700_P15_9	3300037255_5
20150700_P15_9	PMUC01
20150700_P15_9	Palsa.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.28_88.01_1.37
20150700_P15_9	Palsa.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.63_89.66_3.42
20150700_P15_9	Palsa.Labelled.R1.T1.F3.trimmomatic.megahit_bin.46_82.36_0.68
20150700_P15_9	Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.42_86.42_3.22
20150700_P15_9	Palsa.Labelled.R2.T2.F1.trimmomatic.megahit_bin.71_93.22_3.71
20150700_P15_9	Palsa.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.46_82.28_2.05
20150700_P15_9	PMUO01
20150700_P15_9	3300037256_4
20150700_P15_9	Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.49_78.99_0.68
20150700_P15_9	20120600_P2M_4
20150700_P15_9	Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.21_80.48_1.51
20150700_P15_9	Palsa.Labelled.R2.T3.F3.trimmomatic.megahit_bin.102_83.19_2.08
20150700_P15_9	Palsa.Labelled.R3.T3.F3.JGI.BFC.metaspades_bin.11_78.18_0.68
20150700_P15_9	Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.119_77.25_1.06
20150700_P15_9	Palsa.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.5_70.00_0.00
20150700_P15_9	PKYC01
20150700_P15_9	Palsa.Labelled.R2.T2.F1.JGI.BFC.metaspades_bin.13_83.44_2.74
20150700_P15_9	Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.6_77.64_2.40
20150700_P15_9	Palsa.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.10_70.98_1.37
20150700_P15_9	3300037158_6
20150700_P15_9	20110700_P1S_1
20150700_P15_9	Palsa.Labelled.R3.T2.F1.trimmomatic.metaspades_bin.23_75.15_2.74
20150700_P15_9	Palsa.Labelled.R3.T2.F1.trimmomatic.megahit_bin.10_71.09_2.10
20150700_E14_10	20150700_E14_10
20150700_E14_10	Bog.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.71_79.48_0.00
20150700_E14_10	Bog.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.15_76.96_0.05
20150700_E14_10	20170700_S24_2
20150700_E14_10	20140700_S34_12
20150700_E14_10	Bog.None.R2.T0.JGI.BFC.metaspades_bin.115_71.47_0.43
20150700_E14_10	Bog.Labelled.R2.T2.F2.trimmomatic.megahit_bin.97_77.99_1.29
20150700_E14_10	Bog.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.150_73.92_1.15
20150700_E14_10	Bog.Labelled.R1.T3.F2.trimmomatic.megahit_bin.77_77.55_1.01
20150700_E14_10	Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.11_83.73_2.59
20150700_E14_10	Bog.Unlabelled.R2.T1.F2.JGI.BFC.metaspades_bin.62_93.10_4.78
20150700_E14_10	Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.39_74.16_2.01
20150700_E14_10	Bog.Labelled.R2.T1.F2.trimmomatic.megahit_bin.6_81.87_1.65
20150700_E14_10	Bog.Unlabelled.R2.T1.F2.trimmomatic.megahit_bin.46_83.54_3.45
20150700_E14_10	Bog.Labelled.R3.T2.F2.trimmomatic.metaspades_bin.55_74.34_1.72
20150700_E14_10	Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.91_76.29_2.01
20150700_E14_10	Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.40_75.62_1.83
20150700_E14_10	Bog.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.75_84.09_2.97
20150700_E14_10	Bog.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.35_79.33_2.37
20150700_E14_10	Bog.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.13_77.59_3.45
20150700_E14_10	Bog.Labelled.R3.T2.F2.trimmomatic.megahit_bin.77_77.77_2.16
20150700_E14_10	Bog.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.19_74.52_2.66
20150700_E14_10	Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.66_82.35_2.80
20150700_E14_10	Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.63_77.63_3.66
20150700_E14_10	Bog.Unlabelled.R1.T2.F2.trimmomatic.megahit_bin.19_82.54_3.45
20150700_E14_10	Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.164_80.87_4.14
20150700_E14_10	Bog.Labelled.R2.T1.F3.trimmomatic.metaspades_bin.33_73.93_1.29
20150700_E14_10	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.164_75.52_2.59
20150700_E14_10	Bog.Unlabelled.R2.T2.F1.trimmomatic.metaspades_bin.76_76.19_3.95
20150700_E14_10	Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.153_79.41_4.31
20150700_E14_10	Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.56_75.10_2.44
20150700_E14_10	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.4_84.10_3.88
20150700_E14_10	Bog.Labelled.R2.T2.F1.trimmomatic.megahit_bin.35_82.16_4.20
20150700_E14_10	Bog.Labelled.R2.T3.F2.trimmomatic.metaspades_bin.81_71.86_1.72
20150700_E14_10	Bog.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.14_77.49_3.64
20150700_E14_10	Bog.Labelled.R2.T1.F2.trimmomatic.metaspades_bin.27_77.64_3.88
20150700_E14_10	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.40_81.22_4.80
20150700_E14_10	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.6_82.76_4.40
20150700_E14_10	Bog.None.R1.T0.trimmomatic.megahit_bin.306_72.27_3.23
20150700_E14_10	Bog.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.3_76.49_3.30
20150700_E14_10	Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.45_72.34_3.98
20150700_E14_10	Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.10_79.41_4.91
20150700_E14_10	Bog.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.101_74.90_3.45
20150700_E14_10	Bog.Unlabelled.R1.T1.F2.trimmomatic.metaspades_bin.5_77.03_3.36
20150700_E14_10	Bog.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.82_77.40_4.31
20150700_E14_10	Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.13_77.61_3.95
20150700_E14_10	Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.125_78.11_4.31
20150700_E14_10	Bog.Labelled.R3.T1.F3.trimmomatic.megahit_bin.54_76.14_3.88
20150700_E14_10	Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.34_87.28_7.88
20150700_E14_10	Bog.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.13_74.25_3.42
20150700_E14_10	Bog.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.32_72.25_4.74
20150700_E14_10	Bog.Unlabelled.R1.T1.F1.trimmomatic.megahit_bin.18_85.45_8.44
20150700_E14_10	Bog.Labelled.R3.T1.F1.trimmomatic.megahit_bin.28_81.89_7.15
20150700_E14_10	Bog.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.113_71.55_4.48
20150700_E14_10	Bog.Unlabelled.R2.T2.F1.trimmomatic.megahit_bin.15_84.84_9.05
20150700_E14_10	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.81_70.11_6.06
20150700_E14_10	Bog.Labelled.R1.T3.F3.trimmomatic.megahit_bin.54_82.38_8.62
20150700_E14_10	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.118_73.75_7.92
3300037104_17	3300037104_17
3300037104_17	20120800_E2X_19
3300037104_17	PLMM01
20111000_P1M_10	20111000_P1M_10
20111000_P1M_10	20110800_P2D_15
20111000_P1M_10	3300037340_7
20111000_P1M_10	3300037160_6
20111000_P1M_10	PLEB01
20111000_P1M_10	PLJB01
20110800_S3M_18	20110800_S3M_18
20110800_S3M_18	20110700_S3M_20
20110800_S3M_18	20120700_S1D_91
20110800_S3M_18	Bog.Unlabelled.R2.T2.F1.trimmomatic.metaspades_bin.40_85.23_4.31
20110800_S3M_18	Bog.Labelled.R1.T3.F3.trimmomatic.megahit_bin.119_87.28_4.63
20110800_S3M_18	20110700_S1D_9
20110800_S3M_18	Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.182_88.31_6.03
20110800_S3M_18	PMXB01
20110800_S3M_18	Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.101_88.29_8.62
20110800_S3M_18	Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.45_89.60_8.98
20110800_S3M_18	Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.60_75.16_7.76
20110800_S3M_18	Bog.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.63_83.76_7.97
20110800_S3M_18	Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.41_74.66_6.74
20110800_S3M_18	Bog.Labelled.R3.T2.F2.trimmomatic.metaspades_bin.100_77.18_9.91
20110800_S3M_18	Bog.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.96_72.82_9.91
Fen.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.24_70.69_0.16	Fen.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.24_70.69_0.16
Fen.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.24_70.69_0.16	Fen.Labelled.R2.T2.F2.trimmomatic.megahit_bin.31_70.69_0.16
Fen.Labelled.R2.T2.F2.trimmomatic.metaspades_bin.24_70.69_0.16	Fen.Unlabelled.R1.T2.F1.trimmomatic.megahit_bin.72_70.69_1.72
3300023248_5	3300023248_5
3300023248_5	3300036495_4
20120700_P3D_40	20120700_P3D_40
20120700_P3D_40	PLZN01
20120700_P3D_40	20111000_P3M_6
20120700_P3D_40	20120800_E3X_19
Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62	Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62
Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62	Bog.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.73_77.40_7.23
Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62	Bog.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.68_72.26_7.84
Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62	Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.105_73.41_9.38
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.5_78.34_3.47	Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.5_78.34_3.47
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.5_78.34_3.47	Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.42_71.75_2.81
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.5_78.34_3.47	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.28_70.32_5.06
20120500_P28_10	20120500_P28_10
20120500_P28_10	PKWO01
PMON01	PMON01
PMON01	20110600_P1M_2
20120500_P24_8	20120500_P24_8
20120500_P24_8	20110800_P3M_8
20120500_P24_8	PKXT01
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27	Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27	20120600_E3D_19
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27	Fen.Unlabelled.R2.T1.F2.trimmomatic.megahit_bin.42_86.82_4.55
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27	PMIV01
20120700_S1D_57	20120700_S1D_57
20120700_S1D_57	20150700_E15_19
20120600_E2D_21	20120600_E2D_21
20120600_E2D_21	20140700_E22_9
20120600_E2D_21	20110700_P2D_38
20120600_E2D_21	3300037212_8
20120600_E2D_21	PMKB01
20120600_E2D_21	PMTS01
20120700_P3D_123	20120700_P3D_123
20120700_P3D_123	PLYH01
PLHP01	PLHP01
PLHP01	20150700_P24_11
PLHP01	20110800_S3D_22
PLHP01	PLFW01
20120600_E3D_37	20120600_E3D_37
20120600_E3D_37	20120600_E1D_1
20120600_E3D_37	PMIF01
20120600_E3D_37	PMBD01
20111000_P1D_15	20111000_P1D_15
20111000_P1D_15	PLEH01
20120500_P35_2	20120500_P35_2
20120500_P35_2	PNAK01
20120500_P35_2	20110800_P1M_4
20120500_P35_2	PLJP01
20120500_P35_2	20111000_P3D_6
20120500_P35_2	PLCM01
20120500_P35_2	20110800_P1D_11
20120500_P35_2	PKVO01
20120500_P35_2	20120500_P36_4
20120500_P35_2	PKVG01
20120600_E1D_16	20120600_E1D_16
20120600_E1D_16	PMCK01
20120600_E1D_16	PMLL01
20170700_S24_4	20170700_S24_4
20170700_S24_4	20110800_S3D_6
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.329_90.03_5.09	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.329_90.03_5.09
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.329_90.03_5.09	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.118_73.48_2.07
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.329_90.03_5.09	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.157_74.66_2.99
20140700_S21_18	20140700_S21_18
20140700_S21_18	20110600_S2S_6
20140700_S21_18	20170700_S31_6
20140700_S21_18	20111000_S3M_5
20120500_P28_6	20120500_P28_6
20120500_P28_6	PKWQ01
20120800_E1X_5	20120800_E1X_5
20120800_E1X_5	PLNP01
20120800_E1X_5	20120500_P17_5
20120800_E1X_5	PKYR01
20120800_E1X_5	20120500_P39_6
20120800_E1X_5	PMLT01
20111000_P3M_7	20111000_P3M_7
20111000_P3M_7	PLCI01
20120600_E1D_17	20120600_E1D_17
20120600_E1D_17	PMLF01
PLJD01	PLJD01
PLJD01	20110800_P2D_3
PLJD01	20120500_P25_7
3300037139_5	3300037139_5
3300037139_5	20120500_P24_3
3300037139_5	20120700_P2D_2
3300036901_8	3300036901_8
20150700_E23_6	20150700_E23_6
20150700_E23_6	20120700_S1D_100
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Labelled.R3.T3.F3.JGI.BFC.metaspades_bin.84_98.29_0.71
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.47_98.29_1.57
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.94_98.22_1.28
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Unlabelled.R2.T2.F3.JGI.BFC.metaspades_bin.59_98.29_1.57
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.43_98.29_1.57
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Unlabelled.R2.T2.F3.trimmomatic.megahit_bin.44_98.29_1.57
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Unlabelled.R2.T1.F2.trimmomatic.megahit_bin.33_98.29_1.57
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71	Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.168_98.29_1.57
