Date,Date__,DOY,ALD_palsa_135,WTD_palsa_135,ALD_bog_246,WTD_bog_246,ALD_fen_78,WTD_fen_78,ALD_tussok_9,WTD_tussok_9,ALD_bog_E,WTD_bog_E,ALD_bog_F,WTD_bog_F,staffgauge.m,ALD_palsa_center,WTD_palsa_center
7/17/2007,2007-07-17,198,-33,,-47,-21,>100,2,>100,-20,>100,-16,>100,-21,0.405,,
7/19/2007,2007-07-19,200,-37,,-50,-22,>100,4,>100,-22,>100,-16,>100,-22,0.399,,
7/20/2007,2007-07-20,201,-38,,-50,-23,>100,3,>100,-20,>100,-16,>100,-23,0.399,,
7/23/2007,2007-07-23,204,-38,,>100,-24,>100,2,>100,-24,>100,-19,>100,-24,0.398,,
7/25/2007,2007-07-25,206,-37,,>100,-24,>100,2,>100,-24,>100,-20,>100,-23,0.398,,
7/27/2007,2007-07-27,208,-37,,>100,-10,>100,6,>100,-8,>100,-4,>100,-10,0.4,,
7/30/2007,2007-07-30,211,-42,,>100,-10,>100,4,>100,-10,>100,5,>100,-12,0.399,,
7/31/2007,2007-07-31,212,-41,,>100,-10,>100,4,>100,-11,>100,-5,>100,-12,0.399,,
8/2/2007,2007-08-02,214,-38,,>100,-5,>100,5,>100,-6,>100,1.5,>100,-7.5,0.399,,
8/3/2007,2007-08-03,215,-41,,>100,-4,>100,4,>100,-5,>100,0,>100,-7,0.399,,
8/6/2007,2007-08-06,218,-40,,>100,-7,>100,3,>100,-8,>100,-1,>100,-9,0.393,,
8/7/2007,2007-08-07,219,-39,,>100,-8,>100,2,>100,-9,>100,-2,>100,-10,0.395,,
8/9/2007,2007-08-09,221,-40,,>100,-7,>100,3,>100,-6,>100,-1,>100,-8,0.4,,
8/13/2007,2007-08-13,225,-42,,>100,-10,>100,3,>100,-10,>100,-5,>100,-13,0.395,,
8/14/2007,2007-08-14,226,-45,,>100,-7,>100,5,>100,-6,>100,-2,>100,-9,0.41,,
8/16/2007,2007-08-16,228,-45,,>100,-7,>100,3.5,>100,-7,>100,-3,>100,-9,0.395,,
8/18/2007,2007-08-18,230,-45,,>100,-6,>100,3,>100,-7,>100,-1,>100,-8,0.409,,
8/22/2007,2007-08-22,234,-45,,>100,-8,>100,3,>100,-10,>100,-6,>100,-11,0.395,,
8/24/2007,2007-08-24,236,-45,,>100,-11,>100,3,>100,-11,>100,-5,>100,-12,0.395,,
8/27/2007,2007-08-27,239,-48,,>100,-5,>100,3,>100,-7,>100,-2,>100,-8,0.405,,
8/28/2007,2007-08-28,240,-48,,>100,-7,>100,3,>100,-9,>100,-4,>100,-10,0.4,,
8/30/2007,2007-08-30,242,-49,,>100,-9,>100,2,>100,-10,>100,-5,>100,-11,0.396,,
5/17/2008,2008-05-17,138,-12.5,,-17,-2,-12,6,-6,-6,-19,-1,-14,-7,0.41,,
6/1/2008,2008-06-01,153,-17.5,,-18,-8,-12,0,0,-5,-23,-13,-19,-10,0.478,,
6/12/2008,2008-06-12,164,-25,,-26.5,-14,-25.5,4,-4,-8,-32,-8,-28.5,-14,0.47,,
6/13/2008,2008-06-13,165,-23,,-24.5,-13,-24.5,5,-5,-7,-32,-5,-27.5,-13,0.47,,
6/14/2008,2008-06-14,166,-23,,-26.5,-16,-25,9.5,-9.5,-10,-30,-8,-29.5,-16,0.46,,
6/15/2008,2008-06-15,167,-18.5,,-26.5,-12,-28,10.5,-10.5,-6.5,-29,-7.5,-25.5,-11.5,0.465,,
6/16/2008,2008-06-16,168,-24,,-27,-12,-29,9.5,-9.5,-7,-29,-7,-27.5,-12,0.475,,
6/17/2008,2008-06-17,169,-24,,-28,-14,-28,9.5,-9.5,-8,-33,-8,-30.5,-16,0.465,,
6/18/2008,2008-06-18,170,-29.5,,-27.5,-12.5,-28,13,-13,-12.5,-31,-9,-28.5,-4.5,0.465,,
6/19/2008,2008-06-19,171,-26,,-29,-12.5,-27.5,5,-5,-12.5,-34,-9,-29,-15,0.46,,
6/20/2008,2008-06-20,172,-28,,-27,-14,-31,5,-5,-9,-33,-9,-29,-14,0.46,,
6/22/2008,2008-06-22,174,-27,,-30,-9,-31,6,-6,-6,-32.5,-6,-33,-10,0.46,,
6/23/2008,2008-06-23,175,-30,,-30,-9,-33.5,-10,10,-5,-36,-6,-33,-6,0.46,,
6/24/2008,2008-06-24,176,-29,,-29,-6,-34,11,-11,-4,-33.5,-3,-33.5,-7,0.47,,
6/25/2008,2008-06-25,177,-28,,-30,-2.5,-86,13,-13,-2,-40,4,-35,-4,0.485,,
6/26/2008,2008-06-26,178,-29,,-31,-2,>100,12,-12,-2,-40.5,3.5,-44,-1,0.49,,
6/27/2008,2008-06-27,179,-31,,-34.5,-4.5,>100,11,-11,-1.5,-37.5,3,-35.5,-3,0.49,,
6/30/2008,2008-06-30,182,-30,,-35,-4,>100,10,-10,-3,-37,-6,-40,-1,0.475,,
7/1/2008,2008-07-01,183,-30,,-35,-4,>100,9,-9,-3,-35,0,-37,-5.5,0.47,,
7/2/2008,2008-07-02,184,-30,,-36,-6,>100,13,-13,-4,-41,-2,-39.5,-6.5,0.46,,
7/3/2008,2008-07-03,185,-32,,-35,-5,>100,10,-10,-6,-42,-1,-39,-8,0.465,,
7/5/2008,2008-07-05,187,-29,,-39,-10.5,>95,10,-42,-7,-41.5,-2,-39,-9,0.465,,
7/7/2008,2008-07-07,189,-31,,-37.5,-10,>95,3,-40,-6,-43,-6,-39,-11,0.440,,
7/8/2008,2008-07-08,190,-33.5,,-35.5,-11.5,>95,10,-40.5,-6,-42,-7.5,-42,-10.5,0.450,,
7/9/2008,2008-07-09,191,-33,,-41,-13,>95,4,-42,-8.5,-42,-7,-40,-12.5,0.435,,
7/10/2008,2008-07-10,192,-33,,-42,-12.2,>95,9,-50,-8.5,-42,-10,-43,-13,0.430,,
7/14/2008,2008-07-14,196,-34,,-43,-18,>95,0,>95,-10,-46,-12,-43,-19,0.420,,
7/15/2008,2008-07-15,197,-35,,-45,-14,>95,3,>95,-8,-44,-6,-43,-14,0.420,,
7/16/2008,2008-07-16,198,-35,,-43,-13,>95,6,-65,-10,-46,-6.5,-44.5,-13.5,0.415,,
7/17/2008,2008-07-17,199,-35.5,,-43,-13,>95,7,>95,-8,-47.5,-8,-46,-13.5,0.415,,
7/18/2008,2008-07-18,200,-35,,-46,-13,>95,5,>95,-8.5,-48,-8,-45,-11.5,0.420,,
7/21/2008,2008-07-21,203,-36,,-45,-16,>95,0,>95,-11,-50,-11,-48.5,-17,0.415,,
7/22/2008,2008-07-22,204,-38,,-47,-6,>95,9,>95,-2,-54,-4,-50,-7,0.440,,
7/23/2008,2008-07-23,205,-36,,-47,-6,>95,10,>95,-3,-53,-2,>95,-7,0.430,,
7/24/2008,2008-07-24,206,-39,,-49,-6.5,>95,10,>95,-4,-52,-2,>95,-6,0.440,,
7/25/2008,2008-07-25,207,-36,,-49.5,-6,>95,,>95,-5,-55.5,-2,>95,-8,0.440,,
7/27/2008,2008-07-27,209,-36.5,,-50,-8,>95,7,>95,-5.5,-52.5,,>95,-5,0.435,,
7/28/2008,2008-07-28,210,-38.5,,-39,-5.5,>95,7.5,>95,,-50,-5,>95,-8.5,0.435,,
7/29/2008,2008-07-29,211,-38.5,,-52,-7.5,>95,6,>95,-8.5,-55,-3,-73,-8,0.425,,
7/30/2008,2008-07-30,212,-38.5,,-52,-11,>95,10,>95,-8.5,-55,-7,>95,-9,0.430,,
7/31/2008,2008-07-31,213,-35,,-49,-10,>95,2,>95,-7,>95,-5,>95,-13,0.420,,
8/1/2008,2008-08-01,214,-40,,-52.5,-11,>95,8,>95,-9,>95,-5,>95,-12,0.420,,
8/4/2008,2008-08-04,217,-41,,>95,-14.5,>95,6,>95,-11,-90,-8,>95,-16.5,0.410,,
8/5/2008,2008-08-05,218,-41,,>95,-15,>95,5,>95,-12,>95,-7,>95,-17,0.450,,
8/6/2008,2008-08-06,219,-43,,>95,-15,>95,3,>95,-14,>95,-10,>95,-17,0.410,,
8/7/2008,2008-08-07,220,-41,,-121,-17,>130,3,>130,-14,>130,-13,>130,-20,0.410,,
8/8/2008,2008-08-08,221,-42,,-120,-16,>130,2,>130,-15,>130,-15,>130,-17,0.400,,
8/11/2008,2008-08-11,224,-42,,>130,-19,>130,3,>130,-17,>130,-17,>130,-19,0.395,,
8/12/2008,2008-08-12,225,-42,,>130,-17,>130,3,>130,-17,>130,-18,>130,-20,0.395,,
8/13/2008,2008-08-13,226,-41,,>95,-18,>95,2,>95,-23,>95,-18,>95,-20,0.405,,
8/14/2008,2008-08-14,227,-43,,>130,-15,>130,2,>130,-13,>130,-16,>130,-9,0.410,,
8/15/2008,2008-08-15,228,-43.5,,>95,-17,>95,2,>95,-13,>95,-17.5,>95,-13,0.410,,
8/18/2008,2008-08-18,231,-43,,>95,-18,>95,3,>95,-21,>95,-15,>95,-21,0.405,,
8/19/2008,2008-08-19,232,-43,,>130,-15,>130,2,>130,-13,>130,-12,>130,-17,0.410,,
8/20/2008,2008-08-20,233,-43,,>130,-12,>130,2,>130,-12,>130,-8,>130,-15,0.410,,
8/21/2008,2008-08-21,234,-43,,>130,-15,>130,2,>130,-14,>130,-10,>130,-16,0.400,,
8/22/2008,2008-08-22,235,-44,,>130,-11,>130,2,>130,-12,>130,-8,>130,-14,0.410,,
9/16/2008,2008-09-16,260,-47,,>130,-18.5,>130,0,>130,-10,>130,-13,>130,-8,0.395,,
9/26/2008,2008-09-26,270,-47,,>130,-11,>130,1,>130,-10,>130,-13,>130,-8,0.405,,
5/18/2009,2009-05-18,138,-16,,-17.5,-10,-20,14,-14,-4,-17,-11,-23,-3,0.44,,
5/19/2009,2009-05-19,139,-16,,-20,-11,-21,11,-11,-5,-23,-3,-19,-11,0.44,,
5/20/2009,2009-05-20,140,-18,,-22,-11,-23,11,-11,-6,-25,-3,-21,-12,0.445,,
5/21/2009,2009-05-21,141,-21,,-23,-11,-22,11,-11,-5,-25,-3,-22,-12,0.45,,
5/22/2009,2009-05-22,142,-20,,-23,-10,-23,13,-13,-5,-24,-4,-22,-11,0.455,,
5/25/2009,2009-05-25,145,-20,,-25,-8,-25.5,12,-12,-3,-28,-2,-24,-9,0.455,,
5/26/2009,2009-05-26,146,-22,,-22,-9,-26,12.5,-12.5,-4,-28,-2,-24,-10,0.46,,
5/27/2009,2009-05-27,147,-22,,-25.5,-8,-26,16,-16,-4,-28.5,-2,-27,-9,0.465,,
5/28/2009,2009-05-28,148,-22,,-27,-4,-26,16,-16,-4,-31,8,-27,-5,0.48,,
5/29/2009,2009-05-29,149,-24,,-28.5,-5,-29,15,-15,-2,-33.5,0,-26,-6,0.485,,
6/2/2009,2009-06-02,153,-22,,-27,-7,-32,15,-15,-2,-34,0,-26,-7,0.495,,
6/3/2009,2009-06-03,154,-24,,-27.5,-8,-30,13,-13,-3,-34,0,-26,-7,0.495,,
6/4/2009,2009-06-04,155,-24,,-27,-7,-29.5,16,-16,-3,-34.5,-1,-28,-7,0.49,,
6/5/2009,2009-06-05,156,-24,,-28.5,-6,-30,17,-17,-3,-34,-2,-30,-7,0.49,,
6/8/2009,2009-06-08,159,-24,,-29,-8,-30,9,-9,-3,-34,-1,-30,-9,0.485,,
6/9/2009,2009-06-09,160,-25.5,,-31,-9,-29.5,9,-9,-4,-34,-2,-30.5,-9,0.48,,
6/10/2009,2009-06-10,161,-25.5,,-29,-6,-30.5,10.5,-10.5,-5.5,-35,-2,-30,-9,0.475,,
6/11/2009,2009-06-11,162,-24,,-30,-7.5,-29,10,-10,-4.5,-34,-2,-30.5,-9,0.475,,
6/12/2009,2009-06-12,163,-25.5,,-32,-10,-31,8,-8,-5,-36,-2.5,-33,-10,0.47,,
6/13/2009,2009-06-13,164,-25.5,,-31.5,-4,-32,10,-10,-1.5,-40,3,-34,-4,0.48,,
6/16/2009,2009-06-16,167,-27,,-35,-5,-33,12,-12,-1.5,-40,2,-34.5,-6,0.47,,
6/17/2009,2009-06-17,168,-27,,-34,-6,-34,9,-9,-4,-40,0,-33,-6,0.47,,
6/18/2009,2009-06-18,169,-26,,-35,-7,-34,14,-14,-3,-40,-1,-35,-6,0.47,,
6/22/2009,2009-06-22,173,-27.5,,-35.5,-9,-34.5,10,-10,-6,-38,-4,-35,-9,0.485,,
6/23/2009,2009-06-23,174,-29,,-35.5,-12,-37,14,-14,-8,-38,-5,-34,-12,0.445,,
6/24/2009,2009-06-24,175,-28,,-36,-12,-36,9,-9,-9,-40,-5,-36,-12,0.44,,
6/26/2009,2009-06-26,177,-28,,-37,-14,-35.5,8,>95,-9,-41.5,-8,-37.5,-15,0.41,,
6/27/2009,2009-06-27,178,-30,,-39,-16,-39,10,>95,-10,-43,-9,-38,-16,0.435,,
6/29/2009,2009-06-29,180,-30,,-37,-17,>95,5,>95,-12,-43,-10,-40,-16,0.41,,
6/30/2009,2009-06-30,181,-30,,-39,-20,>95,8,>95,-14,-42,-12,-39,-18,0.42,,
7/1/2009,2009-07-01,182,-30,,-38,-19,>95,8,>95,-11,-42,-12,-40,-18,0.41,,
7/3/2009,2009-07-03,184,-31,,-40,-18,>95,6,>95,-12,-44.5,-12,-40,-17,0.42,,
7/5/2009,2009-07-05,186,-31,,-41,-20,>95,7,>95,-16,-45,-15,-43,-20,0.4,,
7/6/2009,2009-07-06,187,-32,,-42,-19,>95,6,>95,-16,-45,-11,-41,-18,0.41,,
7/7/2009,2009-07-07,188,-30,,-41,-18,>95,8,>95,-15,-44.5,-13,-40,-20,0.4,,
7/8/2009,2009-07-08,189,-31.5,,-41.5,-20,>95,7,>95,-16,-47.5,-12,-41,-19,0.4,,
7/9/2009,2009-07-09,190,-36,,-42,-22,>95,7,>95,-17,-44,-16,-42,-20,0.39,,
7/10/2009,2009-07-10,191,-32.5,,-44,-17,>95,7,>95,-12,-46,-13,-43,-17,0.41,,
7/13/2009,2009-07-13,194,-34,,-44,-20,>95,6,>95,-13,-48,-14,-44,-19,0.39,,
7/14/2009,2009-07-14,195,-34,,-46,-23,>95,4,>95,-15,-48,-17,-44,-22,0.39,,
7/16/2009,2009-07-16,197,-36,,-45,-19,>95,8,>95,-12,-49,-12,-44,-17,0.39,,
7/17/2009,2009-07-17,198,-36,,-50,-20,>95,,>95,-17,-50,-14,-44,-20,0.38,,
7/20/2009,2009-07-20,201,-35,,-47,-21,>95,-2,>95,-17,-74,-18,-45,-22,0.38,,
7/21/2009,2009-07-21,202,-42.5,,-47,-23,>95,-5,>95,-19,-52.5,-16.5,-45,-21.5,0.375,,
7/22/2009,2009-07-22,203,-34.5,,-47.5,-23,>95,5,>95,-22,-55.5,-18,-47.5,-23,0.375,,
7/23/2009,2009-07-23,204,-36.5,,-47,-22,>95,3,>95,-22,-38.5,-18,-46,-23,0.375,,
7/24/2009,2009-07-24,205,-35.5,,-48,-23.5,>95,3,>95,-22,-54,-19.5,-48.5,-22,0.38,,
7/26/2009,2009-07-26,207,-37,,-47.5,-23.5,>95,3.5,>95,-27.5,-92,-20,-48,-22,0.385,,
7/27/2009,2009-07-27,208,-33,,-48.5,-20,>95,6,>95,-22.5,>95,-20,-48,-22,0.385,,
7/28/2009,2009-07-28,209,-35,,-50,-17.5,>95,8.5,>95,-14,>95,-12,>95,-18,0.39,,
7/31/2009,2009-07-31,212,-38,,-53,-23,>95,5,>95,-20,>95,-17,>95,-20,0.4,,
8/3/2009,2009-08-03,215,-41,,-52,-26,>95,0,>95,-22,>95,-18,>95,-25,0.39,,
8/4/2009,2009-08-04,216,-42,,-51,-25,>95,0,>95,-24,>95,-20,>95,-23,0.385,,
8/5/2009,2009-08-05,217,-42,,-53,-25,>95,-3,>95,-30,>95,-19,>95,-24,0.38,,
8/10/2009,2009-08-10,222,-43,,>95,-23,>95,2,>95,-23,>95,-17,>95,-22,0.38,,
8/11/2009,2009-08-11,223,-45,,>95,-16,>95,2,>95,-16,>95,-15,>95,-19,0.39,,
8/14/2009,2009-08-14,226,-45,,>95,-12,>95,1,>95,-13,>95,-9.5,>95,-16,0.38,,
8/18/2009,2009-08-18,230,-46,,>95,-11,>95,0,>95,-13,>95,-8,>95,-15,0.37,,
10/3/2009,2009-10-03,276,-53,,>95,-16,>95,0,>95,-17,>95,-14,>95,-18,0.37,,
6/2/2010,2010-06-02,153,-19.0,,-21.0,-4.0,,,-19.0,-4.0,-26.5,,-22.0,-5.0,0.46,,
6/3/2010,2010-06-03,154,-20.0,,-22.0,-4.0,,,-24.5,-3.5,-26.0,,-24.0,-5.0,,,
6/5/2010,2010-06-05,156,-19.8,,-25.0,-6.0,,,-25.0,-4.0,-28.0,,-24.0,-6.0,0.45,,
6/6/2010,2010-06-06,157,-19.0,,-22.0,-7.0,,,-22.0,-4.0,-29.0,,-24.0,-6.0,0.45,,
6/8/2010,2010-06-08,159,-20.0,,-23.0,-6.0,-25.0,11.0,-24.5,-4.0,-28.5,-1.0,-25.0,-7.5,0.45,,
6/9/2010,2010-06-09,160,-19.0,,-24.0,-7.5,-25.0,8.5,-25.0,-5.0,-29.0,-1.0,-28.0,8.5,0.45,,
6/10/2010,2010-06-10,161,-21.5,,-25.5,-8.0,-25.0,-8.0,-26.5,-4.5,-29.5,-1.0,-26.0,-8.0,0.45,,
6/11/2010,2010-06-11,162,-21.5,,-26.0,-9.5,-26.0,12.0,-29.0,-5.5,-31.5,-3.0,-25.5,-8.5,0.44,,
6/13/2010,2010-06-13,164,-23.5,,-27.0,-7.5,-27.0,15.0,-25.5,-2.0,-32.0,0.0,-26.5,-7.0,0.44,,
6/14/2010,2010-06-14,165,-22.0,,-27.5,-6.0,-28.5,14.5,-32.0,-2.5,-33.5,0.0,-28.0,-7.0,0.44,,
6/15/2010,2010-06-15,166,-22.5,,-28.0,-8.0,-28.5,7.0,-27.0,-4.0,-32.0,-1.0,-30.5,-7.0,0.45,,
6/16/2010,2010-06-16,167,-24.5,,-28.5,-7.0,-30.0,16.0,-31.0,-5.5,-33.0,-1.0,-29.0,-7.5,0.45,,
6/17/2010,2010-06-17,168,-23.5,,-30.0,-8.0,-30.5,15.5,-30.5,-5.0,-32.0,1.0,-29.0,-7.5,0.45,,
6/18/2010,2010-06-18,169,-24.0,,-29.5,-8.0,-30.0,13.0,-31.5,-6.0,-32.0,-1.0,-29.0,-8.0,0.45,,
6/19/2010,2010-06-19,170,-25.0,,-30.0,4.0,-33.0,10.0,-34.5,1.0,-36.0,2.0,-32.0,4.0,0.46,,
6/21/2010,2010-06-21,172,-25.5,,-32.5,-2.0,-34.0,12.0,-35.0,-0.5,-39.0,5.0,-32.5,-3.0,0.48,,
6/22/2010,2010-06-22,173,-23.5,,-30.0,-4.0,-34.0,12.0,-34.5,0.0,-39.0,4.0,-32.5,-3.0,0.49,,
6/23/2010,2010-06-23,174,-25.5,,-31.0,-5.0,-34.5,12.0,-33.0,-1.0,-38.5,4.0,-33.0,-4.0,0.49,,
6/24/2010,2010-06-24,175,-25.0,,-31.0,-5.0,-35.0,20.0,-30.0,-1.0,-39.5,1.5,-31.5,-4.5,0.48,,
6/25/2010,2010-06-25,176,-25.0,,-32.0,-6.0,-36.0,12.0,-36.0,-2.0,-39.5,0.0,-32.5,-5.0,0.48,,
6/28/2010,2010-06-28,179,-28.0,,-32.5,-6.0,-36.5,12.5,-37.5,-2.0,-40.0,0.0,-34.5,-5.0,0.47,,
6/29/2010,2010-06-29,180,-28.0,,-35.0,-6.0,-36.5,13.0,-37.0,-2.0,-40.5,0.0,-35.0,-5.0,0.47,,
6/30/2010,2010-06-30,181,-28.0,,-33.5,-5.0,-37.5,13.0,-36.0,-2.0,-39.5,0.0,-35.5,-5.0,0.46,,
7/1/2010,2010-07-01,182,-27.5,,-35.5,-6.0,-38.0,13.0,-38.0,-3.0,-42.0,-0.5,-36.5,-6.0,0.45,,
7/2/2010,2010-07-02,183,-27.5,,-36.5,-6.0,-40.0,13.0,-38.0,-3.0,-42.5,-1.0,-35.0,-6.5,0.45,,
7/5/2010,2010-07-05,186,-29.0,,-38.5,-7.0,-41.5,12.0,-41.5,-3.0,-42.5,-0.5,-38.5,-6.0,0.45,,
7/6/2010,2010-07-06,187,-29.0,,-39.0,-6.5,-43.0,11.0,-39.5,-2.5,-43.0,-0.5,-39.0,-6.0,0.45,,
7/8/2010,2010-07-08,189,-30.0,,-38.0,-7.5,-44.5,11.0,-42.0,-3.5,-44.0,-1.0,-40.0,-7.0,0.43,,
7/9/2010,2010-07-09,190,-30.0,,-39.5,-8.0,>95,12.0,-42.0,-3.5,-43.0,-1.0,-39.5,-7.5,0.44,,
7/12/2010,2010-07-12,193,-31.5,,-43.0,-9.0,>95,,-46.5,-4.0,-48.5,-1.0,-41.0,-8.0,0.43,,
7/13/2010,2010-07-13,194,-30.5,,-43.5,-8.0,>95,11.0,-43.5,0.4,-47.0,-1.5,-42.5,-7.5,0.43,,
7/14/2010,2010-07-14,195,-31.5,,-41.5,-5.5,>95,12.5,-48.0,-1.0,-51.0,-1.0,-41.0,-7.5,0.43,,
7/19/2010,2010-07-19,200,-33.0,,-45.0,-4.0,>95,11.0,-47.5,-0.5,-53.0,2.0,-45.0,-3.5,0.43,,
7/20/2010,2010-07-20,201,-34.0,,-45.5,-4.5,>95,-11.5,-47.0,-1.0,-51.0,0.0,-45.0,-4.0,0.43,,
7/21/2010,2010-07-21,202,-34.0,,-45.0,-5.0,>95,11.0,-47.5,-1.5,-53.0,0.0,-44.5,-4.5,0.42,,
7/23/2010,2010-07-23,204,-25.5,,-47.5,-4.5,>95,12.0,-50.0,,-54.5,0.0,-47.0,-4.0,0.42,,
7/26/2010,2010-07-26,207,-34.0,,-49.0,-6.0,>95,13,-50.5,-2.0,-58.5,0.0,-44.5,-5.0,0.42,,
7/27/2010,2010-07-27,208,-35.0,,-49.0,-8.5,>95,15.0,-81.0,-6.5,-58.0,-2.0,-48.5,-8.5,0.43,,
7/28/2010,2010-07-28,209,-35.5,,-50.5,-8.5,>95,13.5,>95,-3.0,-58.5,-3.0,-48.5,-8.5,0.42,,
7/29/2010,2010-07-29,210,-36.0,,-48.5,-10.0,>95,14.0,>95,-3.5,-60.0,-1.5,-47.0,-8.5,0.42,,
8/4/2010,2010-08-04,216,-38.5,,-52.0,-8.0,>95,10.0,>95,-3.0,-60.0,-2.0,-51.0,-8.0,0.45,,
8/5/2010,2010-08-05,217,-37.8,,-51.5,-12.5,>95,15.0,>95,-4.5,>95,-4.5,-53.0,-9.5,0.45,,
8/10/2010,2010-08-10,222,-39.0,,-52.5,-12.0,>95,12.5,>95,-7.5,>95,-7.5,-52.5,-11.5,0.46,,
9/8/2010,2010-09-08,251,-37.0,,-52.5,-13.0,>95,12.0,>95,-6.5,>95,-7.0,-52.5,-12.0,0.45,,
5/19/2011,2011-05-19,139,-17,,-20,6,-23,22,-12,-6,,,,,0.47,,
5/22/2011,2011-05-22,142,-20,,-22,-10,-21,20,-19,-8,-30,20?,,,0.49,,
5/31/2011,2011-05-31,151,-21,,-33,-8,-25,24,-23,-7,-34,-18,,,0.47,,
6/7/2011,2011-06-07,158,-21.5,,-24.5,-9,-27.5,9,-23.5,-5,-27.5,-2,21.5,-6,0.45,,
6/8/2011,2011-06-08,159,-20,,-26.5,-8,-28.5,9,-22.5,-7,-28.45,-2,26.5,-6,0.45,,
6/9/2011,2011-06-09,160,-21,,-28.5,-9,-30.5,10,-24,-8,-30,-1,26.5,-7,0.45,,
6/10/2011,2011-06-10,161,-23,,-27.5,-9,-31.5,11,-25,-8,-31,-2,26.5,-8,0.45,,
6/13/2011,2011-06-13,164,-22,,-28.5,-10,-89,13,-31,-6,-30,-13,32,-6,0.41,,
6/15/2011,2011-06-15,166,-26,,-31,-14,,14,-30.5,<-10,-36,<-10,31,-13,0.44,,
6/16/2011,2011-06-16,167,-26.5,,-32.5,-14,inf,12,-31,<-10,-36,<-10,29,-15,0.43,,
6/17/2011,2011-06-17,168,-26.5,,-33,-15,inf,11,-31.5,<-10,-35.5,<-10,30.5,-14,0.43,,
6/19/2011,2011-06-19,170,-28,,-34,-18,inf,14,-31.5,<-10,-35,<-10,31.5,-18,0.41,,
6/21/2011,2011-06-21,172,-27.5,,-33.5,-4,inf,10,-32,-2,-37.5,-0.5,33,-5,0.43,,
6/22/2011,2011-06-22,173,-27,,-43,-2,inf,11,-68.5,-2,-43,6,68.5,-2,0.56,,
6/23/2011,2011-06-23,174,-28,,-36,0.5,inf,12,inf,-2,-44,4,35,-3,0.46,,
6/26/2011,2011-06-26,177,-30,,-38,-6,inf,13,inf,-4,-42.45,0,35,-5,0.45,,
6/28/2011,2011-06-28,179,-31,,-38.5,-6,inf,12,inf,-5.5,-41.5,-0.5,38,-4.5,0.44,,
6/30/2011,2011-06-30,181,-30,,-41.5,-5,inf,12,inf,-5,-44.5,0,39,-5,0.44,,
7/4/2011,2011-07-04,185,-32,,-43,-8,inf,10,inf,-8,-46,-2,40,-8,0.53,,
7/5/2011,2011-07-05,186,-36,,-43,-9,inf,10,inf,-7,-43,-3,42,-6,0.41,,
7/6/2011,2011-07-06,187,-31.5,,-44,-10,inf,10,inf,-9,-48.5,-3,41,-10,0.52,,
7/7/2011,2011-07-07,188,-33.5,,-45,-11,inf,10,inf,-10,-46,-5,42.5,-9,0.44,,
7/11/2011,2011-07-11,192,-34,,-47.5,-12,inf,9,inf,-10,-51,-7,inf,-9,0.46,,
7/13/2011,2011-07-13,194,-35.6,,-48,-30,inf,30,inf,<-10,-51,-8,inf,-12,0.46,,
7/14/2011,2011-07-14,195,-35,,-47.5,-14,inf,10,inf,<-10,-53,-7,inf,-12,0.46,,
7/15/2011,2011-07-15,196,-36,,-49.5,-11,inf,10,inf,-9.5,-52,-5,inf,-12,0.46,,
7/16/2011,2011-07-16,197,-37.5,,-48.5,-13,inf,10,inf,<-10,inf,-7,inf,-12.5,0.46,,
7/19/2011,2011-07-19,200,-34.5,,-51,-11,inf,12,inf,-8,inf,-5,inf,-9,0.46,,
7/20/2011,2011-07-20,201,-38.5,,-50,-9,inf,12,inf,-8,inf,-4,inf,-9,0.46,,
7/21/2011,2011-07-21,202,-37,,-50,-7,inf,12,inf,-7,inf,-3,inf,-8,0.45,,
7/22/2011,2011-07-22,203,-38,,-50,-8,inf,10,inf,-9,inf,-3,inf,-8,0.46,,
7/25/2011,2011-07-25,206,-41,,-55,-5,inf,12,inf,-4,inf,1,inf,-4,0.46,,
7/26/2011,2011-07-26,207,-40,,-54,-5,inf,12,inf,-5,inf,0,inf,-4.5,0.46,,
7/27/2011,2011-07-27,208,-42,,-54.5,-4.5,inf,13,inf,-3.5,inf,0.5,inf,-5,0.46,,
7/28/2011,2011-07-28,209,-41,,-55.5,-5,inf,12,inf,-4.5,inf,-0.5,inf,-5,0.46,,
7/30/2011,2011-07-30,211,-41,,inf,-9,inf,12,inf,-9,inf,-2,inf,-8,0.45,,
8/1/2011,2011-08-01,213,-44,,-59,-10,inf,10,inf,<--10,inf,-7,inf,-10,0.44,,
8/2/2011,2011-08-02,214,-42.5,,inf,-11,inf,8,inf,<-10,inf,-9,inf,-11,0.44,,
8/3/2011,2011-08-03,215,,,inf,-12,inf,10,inf,<-10,inf,-9,inf,-12,0.44,,
8/4/2011,2011-08-04,216,-46,,inf,-13,inf,10,inf,-13,inf,-11,inf,-15,0.42,,
8/8/2011,2011-08-08,220,-46,,inf,-13,inf,8,inf,-11,inf,-13,inf,-15,0.42,,
8/9/2011,2011-08-09,221,-49,,inf,-18,inf,9,inf,-13,inf,-13,inf,-17,0.42,,
8/11/2011,2011-08-11,223,-47,,inf,-18,inf,9,inf,-13,inf,-13,inf,-17,0.42,,
8/14/2011,2011-08-14,226,-48.5,,inf,-18,inf,10,inf,-13,inf,-14,inf,-18,0.415,,
8/15/2011,2011-08-15,227,-47,,inf,-19,inf,10,inf,-13,inf,-13,inf,-18,0.41,,
