"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-3-D" "712_S-1-X" "712_S-2-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_S-2-D" "713_S-2-X0" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_20-24" "714_S1_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S2_30-34" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_S2_30-34" "717_S3_20-24"
"20110700_P2D_21" 0.3719642 0.34522775 0.3920283 0.33458424 0.40996554 0.3233991 0.34790915 0.47880664 0.16870706 0 13.378012 0 0.33754426 0.14875823 0.48024088 0.659373 0.46689078 0.15407336 0.20482297 0.27027696 4.41721 0 0 0.35461283 0.2461255 0.24463452 0.75567764 3.5408897 0.26051953 0.13304323 0.12074888 0.0678586 5.3386254 0.2015867 0.058937754 0.977997 1.7036935 0.3069097 0 0 0.46377704 0.43575355 2.2293532 2.2168643 0.41224015 0.8055004 0.42193848 0.3808718 0 0 0.29253903 0.21157524 0.21738924 0.16279788 0.13856664 0.2845949 0.5623496 0.25559652 0 0 0.16458254 0.5271013 0.18196034 0.13206509 0.49011993 0.20039554 0.14037068 0 0.39986223 0.73592585 0.2473424 0.55260646 0.40494534 0.13130772 0 0
"20110800_E2D_9" 0.17548332 0.14173366 0.11703237 0.11949877 0.13602057 0.111014836 0.13819847 0.18802695 0.06741024 0 2.7745461 0 0.122168444 0 0.20327891 0.29775745 0.19189431 0.06504453 0.09123941 0.10099672 5.255374 0 0 0.1372139 0.09033088 0.06168749 1.710417 5.1532383 0.13769522 0 0.06433672 0 0.28230008 0.069673665 0 2.4437017 1.3113544 1.0088603 0 0 0.12989494 0.17852125 1.2441981 0.35140786 0.13036919 0.13678396 0.16942647 0.9803625 0 0 0.09020185 0.090285294 0.059459347 0 0.059392657 0.09175037 0.09433113 0 0 0 0.062515795 0.13727914 0 0 0.24791671 0.08621529 0 0 0.2018728 0.16433439 0 0.3608678 0.16736457 0 0 0
"3300037355_2" 0.43363985 0 0 2.4988644 0 0 0.7519523 0 0 0 0 0 0 0 2.08217 9.205234 0.114918955 0 0.354469 0 0 0 0 2.021709 0.1934132 0.094379015 0 0 0.18051581 0 0 0 0 0 0 0 0 0 0 0 0.59668374 0 0 0 6.1016726 0.14468378 0 0 0 0 0 0.10535833 0 0 0.3734336 0.1533784 0 0 0 0 1.0923616 0.29242343 0 0 0.6606383 0 0 0 0.33017322 0 0 0.78958756 0 0 0 0
"PMBA01" 0.4306398 0.077836685 0.069282174 3.417765 1.3371738 0 3.6339314 1.991005 0 0 0 0 1.0838015 0 1.2770766 3.177253 0.08051188 0.084129244 1.0521533 0 0 0 0 0.38358065 0.19639932 0 0 0 0.49331775 0 0 0 0 0.09868903 0 0 0 0 0 0 2.633824 1.8236741 0.27031487 0 2.2975135 1.203493 0.05691958 0 0 0 0.37843964 2.3576953 0.08090673 0.08167154 0.11184106 2.5591948 0.69755626 0.08016317 0 0 0.43377292 0.22983892 0 0 0.1877767 0.1374446 0 0 1.4864482 1.6995527 0.26452327 0.32618353 0.075279556 0 0 0
"20110800_E1S_2" 2.096296 2.8256733 1.1099696 2.7289617 2.1320007 1.866098 6.796279 2.8255157 2.7947986 0 0 0 1.040643 0.5519062 1.4308103 4.266344 2.6950328 0.3998967 0.8559139 2.3573418 0 0 0 0.72691834 0.7247363 0.21544963 0.82624644 0 1.0377084 1.523973 0.70288974 0.62756467 0.08258325 2.815355 1.0973545 0.50740474 0.0811027 0 0 0 0.2686794 0.10188045 0 0 0.3645236 0.114646226 0.8858148 0 0 0 3.2080991 2.9546824 3.4418352 1.8887728 0.7212496 4.6665277 1.666887 1.319479 0 0 1.319967 1.7258584 1.718747 2.326071 0.25135484 4.253736 2.2075949 0 1.7105677 2.206331 1.4743899 1.1895161 0.94009703 0.6799472 0 0
"20120600_E3D_2" 0.9772729 2.0455348 0.19781569 1.0622966 3.92418 0.110707715 1.4706008 1.9304672 0.515262 0 0 0 4.0568776 0.09516914 2.154219 0.9887064 0.18240078 0.23511215 0.25394762 0.080180876 0 0 0 1.7874321 3.1505706 0.307767 0.06988853 0 0.52428395 0.5414361 0.19981927 0.10277267 0 0.4633835 0 0 0 0 0 0 1.0841148 2.2130034 4.9653707 2.4073763 0.43730173 1.3605566 1.175405 0 0 0 1.7466435 0.4984752 0.4161227 0.18748106 0.21350928 2.441559 2.4444618 0.5492323 0 0 0.20428936 0.693532 0.31400287 0 0.15593112 0.7723216 0 0 0.53090274 2.0593917 1.7821679 0.26979375 1.1379027 0 0 0
"PMMQ01" 25.397408 17.705795 3.1600354 9.794026 27.75773 2.41036 6.5802503 5.1616006 6.988315 0 4.9628544 0 2.9708014 0.061747473 2.98983 4.808248 3.6872447 1.8938394 5.215635 3.728191 2.5037296 0 0 5.857276 9.224852 2.4664943 0.66921943 0 7.6698747 10.896676 9.808074 1.6601839 0.107434526 12.7860775 2.391631 0 0 0 0 0 0.28867912 0.39519367 5.1602654 2.83138 0.45117018 0.18657388 4.1350884 0.2623193 0 0 12.198474 5.2119436 7.599473 4.5104227 0.26189175 5.812061 6.213569 4.659494 0 0 6.2309337 13.70477 9.108466 3.5510786 3.5118618 7.1238623 5.143217 0 8.938621 10.718592 8.065373 5.6884785 8.926155 3.215483 0 0
"PMCI01" 0.67911464 0.82735837 0.23894261 0.75958276 0.7487036 0.26368338 1.9972725 0.85222095 0.6867602 0 0 0 0.33905348 0.14173926 0.25006214 0.45839116 0.5581212 0.2094869 0.99140006 0.4400222 0 0 0 0.2920274 0.36525768 0.10875033 0 0 0.38682038 0.3444094 0.38324133 0 0 0.5566316 0.2600089 0 0 0 0 0 0.23556255 0.078445695 0.17757049 0.08689547 0.11240169 0.107648365 0.2362613 0 0 0 0.7106867 1.352949 0.5177878 0.48674417 0.510052 0.89476687 0.47497135 0.3153953 0 0 0.81078374 0.85597146 0.5522543 0.5489932 0.32434407 0.4646307 0.60932666 0 1.6156802 0.9244238 0.71631616 0.6106034 0.45043892 0.2550074 0 0
"20160700_E13_6" 4.670879 13.345538 8.673855 12.153279 18.705542 6.919573 9.915529 13.539263 12.143161 0 0 0.39353815 3.4943564 3.92234 4.378155 7.904285 12.716264 2.0835807 5.2737722 10.427033 0 0.05951336 0.0722487 7.526511 8.896163 5.230696 3.8808799 2.7621217 3.8186512 8.115765 8.311988 2.7445302 2.967919 9.892477 4.339874 4.933899 3.4430602 0.7603158 0.32583696 0.2813786 1.3400495 2.7467642 14.959363 9.222703 1.7031437 4.061307 7.737158 0.53679585 0.14092804 0.12902507 10.54597 9.85941 7.8201137 7.2611613 1.205596 10.782986 12.442647 9.567574 0.08392797 0 5.652797 17.948643 11.3383465 10.977835 0.7244672 8.6774435 8.58726 0 7.0641694 9.304473 9.498008 4.095344 8.487984 6.150095 0 0
"20120700_P3D_44" 0.22302045 0.22575715 0 0.25311095 0.18018521 0.11842684 0 0 0.17644936 0.06250121 0 0 0 0 0.08041997 0.16809678 0.14792378 0 0.17797163 0 0.6215567 0 0 0.15447402 0.17067334 0 0.22179031 0 0.16543815 0 0 0.14697856 0 0.077260345 0 0 0 0 0 0 0 0 0.17601839 0 0 0 0.1530797 0 0 0 0.26269484 0.65009314 0.19512825 0.13152689 0 0.16974582 0.18643284 0.08494292 0 0 0.29056692 0.2625013 0.20363453 0.07456348 0.07870495 0.08908199 0.109948315 0 0.60359323 0.34798986 0.300113 0.33320215 0.111428335 0 0 0
"20130700_C1D_10" 0.20389889 0.08834511 0.2092505 0 0 0.54147035 4.3505654 0.4102237 0.75174797 0 0 0 0.44447437 0.37216115 0.45746702 0.08254609 0.7421013 0.21340863 0.36364043 0.4677707 0 0 0 0.36861023 0.43044832 0.4734078 0 0 0.077719964 0.15093061 0 0 0 0 0.4844535 0 0 0 0 0 11.794295 4.075292 1.5445156 0 0.80088 0 1.7465106 0 0 0 0 2.6912303 0 0.12661888 0.06843101 0.58773965 0.10330388 0.23610169 0 0 0 0.08787198 0.10306977 0.19732301 0 0.116861716 0.24018623 0 2.190903 0.092985034 0.092016816 0 0 0.50497603 0 0
"PNBO01" 0.61730605 3.9701314 0.23156065 7.503174 4.820932 0 3.85493 3.6775525 0.5711245 0 0 0 0.42242667 0 2.6226306 4.6774483 0.65473914 0.5534723 4.2056975 0.9909313 0 0 0 0.3576858 0.27577925 0 0.1105785 0 1.6050701 0.37736565 0.3201871 0.07422754 0.15298982 1.9692605 0.57518256 0 0 0 0 0 0 0 0 0 0.68481666 0.98670524 0 0 0 0 2.6758795 5.6986213 0.7854835 1.4765455 1.0192474 7.0255723 5.5619936 2.7907836 0 0 2.669864 3.7337768 0.53371096 1.2745492 2.1842415 1.4773364 0.5613084 0 4.812965 10.915263 2.3988945 3.6311777 2.7250648 0.25480512 0 0
"20120700_P3D_20" 0.1605283 0.36012566 0.0845958 0.08219848 0.5071657 0.06678565 0.24034196 0.090408295 0.16953142 0.4520104 0 0 0.91047555 0 0.1111255 0.12740198 0.17106946 0 0.31922337 0 1.1986321 0 0 0.11626548 0.32362834 0.095769204 0 0 0 0.10008029 0 0 0 0.3812266 0 0 0 0 0 0 0.13342173 1.3923314 7.617824 1.7556683 0 1.0000632 0.11071054 1.2036272 0 0 0.37252578 0.19062318 0 0 0.070249654 0.27607608 0.09718167 0.06301205 0 0 0.6291759 0.25429016 0 0 0 0.30276144 0 0 0.77969253 0.4587993 0.085363075 0.7939885 0.2264666 0 0 0
"20100900_E3S_1" 0 0 0 0.16207504 0 0 0.94394535 0 0 0 0 0 0 0 0.2740575 0.75508064 0 0 0 0 0 0 0 0.7229888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1972382 0.124238394 0 0 1.6029621 0 0 0 0 0 0 0 0 0 0.06622508 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06126695 0 0 0 0 0 0 0
"20120600_E2D_47" 0.6762636 1.8182945 0 0.26650378 0.70603144 0.08959377 0.5713417 0.44008583 0 0 0 0 0.28864852 0 0.06301713 0 0 0 0.15185729 0 0 0 0 0.1280492 0.3315463 0 0 0 0.22315098 0.51796514 0 0 0 0.2688897 0 0 0 0 0 0 0.487294 0.30254897 0 0 0 0 0 0 0 0 1.1460665 0.78705174 0.2337968 0 0 0.11788922 0 0 0 0 0.12497856 0.08796073 0 0 0 0.51797855 0 0 0.6031357 0.4107685 0 0.072718635 0.6977929 0 0 0
"20120600_E3D_37" 1.5025808 2.222601 0.75411075 0.42705902 1.9231486 0.2125629 2.821754 1.4765693 2.7054174 0 0 0 1.3134989 0 0 0 0.34420618 0.11732315 0.69375265 0.40546837 0 0 0 0.15279512 1.4146519 0 0 0 0.45682752 0.5344245 1.7399198 0 0 2.2881868 0.79633296 0 0 0 0 0 0 0.6902785 0 0 0 0 0 0 0 0 1.3091463 1.4095398 1.0220779 0.45965633 0 0.41883492 0.34979483 0.8340816 0 0 0.356763 0.63744986 0.6136175 0.7387941 0.095161974 1.5458604 0.8197222 0 5.4096017 3.5913048 4.9003205 3.587321 4.762966 0.20758186 0 0
"20120600_E2D_49" 3.0628402 2.4436126 0.13691808 0.6893047 2.3101237 0.14169899 0.93228155 0.09476455 4.5448194 0 0 0 0.3693096 0 0.09680968 0.06451032 0.20399348 0 0.18506384 0.27502388 0 0 0 0.42222804 4.4343886 0.08599396 0 0 0.47675288 0.4869792 1.2898257 0 0 4.2924514 2.0941427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4642767 0.10643017 0.34087792 0.069579296 0 0.29682243 0.095687814 0.15388635 0 0 0.6431282 1.4728276 2.026368 0.7873193 0.19113658 2.5908432 1.0571522 0 34.017082 4.7167187 2.6724727 7.867317 7.2579474 0.13036223 0 0
"20120800_E1X_14" 0.14505553 0.19378163 0.2020945 0 0.11748154 0 0.15229559 0 0 0 0 0 0.10645894 0 0 0.05659272 0.069228485 0 0.5550033 0 0 0 0 0 0.07987307 0 0.16791767 1.7736163 0.1579755 0.08308721 0.068498656 0.11624333 1.8320299 0.22783998 0 0.631039 0.6757885 0.8791228 0 0 0 0 0.20130497 0.14732237 0 0 0 0 0 0 0.42944378 0.20405369 0.2373015 0.19530556 0 0 0 0.12623425 0 0 0.313894 0.13637684 0.107217394 0 0 0.23708919 0 0 0.45344448 0.36354914 0.32171708 0.6208251 0.49556074 0 0 0
"3300037361_7" 1.3024615 1.5830786 0.20660083 0.18942732 0.5189787 0.08110185 0.115931615 0 0.333388 0 0 0 0.10833169 0 0.08643207 0.13327403 0.40642008 0 0.31461823 0.14508577 0 0 0 0.10715105 0.4923614 0.20307046 0 0 0.06850377 0.07921843 0.1417461 0 0 0.44516072 0 0 0 0 0 0 0 0.09559491 0.62837857 0.14368197 0 0.06772409 0.0864134 0 0 0 1.7713645 0.16625327 2.5378356 0.48346615 0 0.103835836 0.47507188 0.77101326 0 0 0.6500857 1.4491849 1.5233052 0.52560467 0.54876894 0.86879784 0.15372853 0 14.687973 8.021269 5.3191624 1.157466 2.0354338 0 0 0
"20120600_E2D_19" 0.055923637 0.17938404 0 0 0 0 0.4814697 0.07512214 0 0 0 0 0 0 0.27889097 0 0.12739232 0 0.08122297 0.24811165 0 0 0 0 0 0 0 0 0 0.7349205 0 0 0 0.31521565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5350614 0.25752357 0.45848668 0.25781146 0 0.392274 0 0 0 0 0 0 0 0 0 0.3184948 0.07180815 0 0.80134046 1.9785603 0.25484636 0.3301268 2.6387634 0.16092037 0 0
"Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14" 0 0 0.10731948 0.20445961 0 0 0.26987755 0.18717642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07298646 1.2005267 0.10938803 0 0 0 0 0 0 0 0.21995153 0.067782655 0 0 0 0 0 0 0 0 0 0.12055544 0 0 0 0
"20110800_E2S_4" 5.854785 7.1951184 0.43690568 2.0158565 0.4491609 0.70854133 6.7015734 3.7192523 1.4899755 0 0 0 1.1225787 0.2093177 1.6148871 2.8920968 2.3451035 0.88544774 5.430352 2.125755 0 0 0 0.46362543 0.2174788 0.34759274 0.4112007 1.3097174 2.7671182 2.6714234 1.3278265 0.10235233 0.8301656 4.482701 0.6886982 0.28430027 0.2617138 0 0 0 0.22781354 0.33486784 0.46976107 0.15221813 0.4270306 0.17938295 0.83864874 0.079332866 0 0 2.0368521 10.2566805 1.3029659 1.0459977 0.7340996 4.044289 0.4954269 0.36144188 0 0 2.0483754 1.3976278 1.0294937 0.6875142 0.92441714 1.8784947 1.016836 0 12.720262 6.456466 2.2631752 4.607558 6.5825377 1.4933401 0 0
"20120600_E3D_45" 0.6871182 13.453946 1.0271848 6.725535 10.429979 0.98325026 1.9662111 2.9997964 1.8424419 0 0 0 0.7047088 0.11253044 3.3234406 1.289114 4.1891165 0.35356918 0.60573363 3.021419 0 0 0 0.41256726 1.0369675 0.10961146 0.081246994 0 1.1643431 0.788745 1.8672241 0.06901388 0.19575717 5.0743513 1.5345588 0 0 0 0 0 0.072303504 0.0635886 0.07862314 0 1.0817201 2.6008835 0.30245575 0 0 0 8.819213 2.1528668 3.1701643 3.8308346 0.30829453 6.4594097 5.391906 2.868703 0 0 1.3598415 5.1717367 2.0191593 4.3397536 4.6214876 3.4837704 1.0345457 0 2.0485182 19.250418 4.0969343 3.066632 12.375851 1.2675672 0 0
"PMJT01" 2.4914474 2.3107426 0.41254726 4.6447883 5.6594777 1.0463029 1.6452051 1.3619648 1.2000673 0 0 0 1.284983 0.20212556 1.7305152 1.9485087 1.2853309 0.18418631 0.95617807 0.9878865 0 0 0 1.0996114 1.45813 0.7879729 0.2630729 0 1.3278213 0.7498821 1.276245 0.24821623 0.2272785 1.832545 1.1170717 0 0 0 0 0 0.2678456 0.7956303 0.5593898 0.33076403 0.35055745 0.7571976 0.6864322 0 0 0 1.8041906 1.3979523 0.73012453 0.4473269 0.11419158 6.5017276 3.1520286 0.47088712 0 0 1.2648796 1.8511436 0.58146095 1.0907995 0.42292416 2.2766943 0.91482043 0 2.2681143 4.667166 3.1759315 0.91852164 2.1541424 1.4595075 0 0
"PMBR01" 1.3596516 3.210126 0.9215326 2.696804 2.938167 2.3891954 11.939569 7.8102183 1.6406932 0 0 0 1.0079029 0.21810621 1.4306551 1.5021302 1.9359617 0.20967169 1.934713 1.1313225 0 0 0 0.76234984 0.6912621 0.84715503 0.461031 0 0.88337165 0.5076753 0.50417244 0 0 4.1453376 1.5174142 0 0 0 0 0 1.9600037 3.6544728 0.27939728 0.1785498 2.6641703 0.9562983 2.1460445 0 0 0 1.194408 6.8753834 1.2198133 0.46005955 0.20981707 4.8446417 0.3860598 0.10616909 0 0 0.7063352 0.6873287 0.53058076 0.60685855 0.17685731 2.8218422 1.023404 0 4.213944 1.7349918 0.19435048 0.43893287 1.6347159 0.64119214 0 0
"20130700_C1M_6" 16.281643 12.927054 8.580785 13.872676 31.615128 20.234373 16.525265 14.266323 12.2871475 0 0 0 16.721537 7.4084682 10.575037 13.874894 16.290411 2.0613716 2.7667375 13.367383 0 0 0 19.21093 21.37907 12.153372 3.543343 3.264626 6.1259403 5.279001 5.8976574 1.0377463 5.1340485 10.64217 6.8329945 3.128791 2.912602 0.400711 0 0 18.437777 21.941196 33.819096 16.493753 7.7821555 9.86464 22.958158 0 0 0 13.95103 11.893049 16.194992 11.079512 1.6971147 12.103686 15.819773 12.129342 0 0 9.5630245 12.972688 10.318386 11.344681 1.2611191 11.11858 11.918712 0 23.330978 22.016462 12.40545 3.7383544 8.764937 8.027228 0 0
"20110800_E2S_1" 17.973652 10.469943 0.5414504 9.133819 6.921774 1.0503132 14.703966 6.5298104 1.8496574 0 0 0 4.8796954 0.092178 6.866642 12.018031 1.5366094 0.9145214 5.94673 0.7724371 0 0 0 3.6011107 3.1342058 1.0845475 0.23198637 0.5704314 4.648514 4.5570426 1.0054797 0 0 4.465456 0.4043464 0.06376307 0.10624509 0 0 0 5.3328114 4.35826 0.88683826 0.12410418 4.5013123 1.1067182 0.80467623 1.3108144 0 0 3.9917753 16.054916 1.0903163 0.8881219 1.9762262 9.506787 0.95980775 0.39570615 0 0 7.020837 2.5138276 0.6572001 0.2972287 2.3275187 3.262234 0.3683705 0 19.219236 6.1714964 1.4007555 5.038836 5.150448 0.26457393 0 0
