Desulfovibrio_vulgaris_Hildenborough_DVU0403	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_A0A432QR19	dsrB
UniRef90_A0A432UVU2	dsrB
UniRef90_A0A451BTP1	dsrB
UniRef90_A0A484HDB2	dsrB
UniRef90_A0A484HKL3	dsrB
UniRef90_A0A494WQZ0	dsrB
UniRef90_A0A496QL39	dsrB
UniRef90_A0A496VDG1	dsrB
UniRef90_A0A496VS99	dsrB
UniRef90_A0A496YK21	dsrB
UniRef90_A0A496YZY5	dsrB
UniRef90_A0A497E8J9	dsrB
UniRef90_A0A497J8Z2	dsrB
UniRef90_A0A497JCZ2	dsrB
UniRef90_A0A497JEV3	dsrB
UniRef90_A0A497RB94	dsrB
UniRef90_A0A497RKY9	dsrB
UniRef90_A0A498R519	dsrB
UniRef90_A0A498R9U9	dsrB
UniRef90_A0A4P8L164	dsrB
UniRef90_A0A4Q1D0I6	dsrB
UniRef90_A0A4Q3ZGB0	dsrB
UniRef90_A0A4R1BEU0	dsrB
UniRef90_A0A4R1PZ94	dsrB
UniRef90_A0A4R3J3C1	dsrB
UniRef90_A0A4U0ZII1	dsrB
UniRef90_A0A4U1AI91	dsrB
UniRef90_A0A4U1AJ01	dsrB
UniRef90_A0A4V6WM37	dsrB
UniRef90_A0A4Y7RPY6	dsrB
UniRef90_A0A4Z0QNU8	dsrB
UniRef90_A0A4Z0QQ54	dsrB
UniRef90_A0A509L9K1	dsrB
UniRef90_A0A519BCI4	dsrB
UniRef90_A0A519BMJ7	dsrB
UniRef90_A0A519BMK4	dsrB
UniRef90_A0A520MQ73	dsrB
UniRef90_A0A520PBG0	dsrB
UniRef90_A0A520PL92	dsrB
UniRef90_A0A520XBX3	dsrB
UniRef90_A0A521G566	dsrB
UniRef90_A0A521VEM2	dsrB
UniRef90_A0A521XWD2	dsrB
UniRef90_A0A522CAF3	dsrB
UniRef90_A0A522CZJ0	dsrB
UniRef90_A0A522CZJ2	dsrB
UniRef90_A0A522FKJ1	dsrB
UniRef90_A0A522LWJ1	dsrB
UniRef90_A0A522M043	dsrB
UniRef90_A0A522M4A8	dsrB
UniRef90_A0A522V4L5	dsrB
UniRef90_A0A522V749	dsrB
UniRef90_A0A522W1W8	dsrB
UniRef90_A0A522WZ21	dsrB
UniRef90_A0A523A681	dsrB
UniRef90_A0A523A8H3	dsrB
UniRef90_A0A523CDR4	dsrB
UniRef90_A0A523L557	dsrB
UniRef90_A0A523QVX0	dsrB
UniRef90_A0A523WLR1	dsrB
UniRef90_A0A523WLV0	dsrB
UniRef90_A0A523Y472	dsrB
UniRef90_A0A524GET9	dsrB
UniRef90_A0A524R2N0	dsrB
UniRef90_A0A525C228	dsrB
UniRef90_A0A525CRC3	dsrB
UniRef90_A0A525D8L3	dsrB
UniRef90_A0A532V0Q9	dsrB
UniRef90_A0A533TLE3	dsrB
UniRef90_A0A533TS06	dsrB
UniRef90_A0A533TSW1	dsrB
UniRef90_A0A533U516	dsrB
UniRef90_A0A5C7JLE2	dsrB
UniRef90_A0A5C7RRV9	dsrB
UniRef90_A0A5C9BF17	dsrB
UniRef90_A0A5C9CKD9	dsrB
UniRef90_A0A5D0R9V7	dsrB
UniRef90_A0A5K7ZE76	dsrB
UniRef90_A0A5M6I2J0	dsrB
UniRef90_A0A5P1UXT7	dsrB
UniRef90_A0A5Q0EJF4	dsrB
UniRef90_A0A5S5MEW6	dsrB
UniRef90_A0A644TLT7	dsrB
UniRef90_A0A645A556	dsrB
UniRef90_A0A645JPR1	dsrB
UniRef90_A0A651FIE9	dsrB
UniRef90_A0A653A301	dsrB
UniRef90_A0A657Q793	dsrB
UniRef90_A0A658BR81	dsrB
UniRef90_A0A660P9N9	dsrB
UniRef90_A0A660Q4S6	dsrB
UniRef90_A0A660RMB6	dsrB
UniRef90_A0A660RZ91	dsrB
UniRef90_A0A660ZDD5	dsrB
UniRef90_A0A661D0Z5	dsrB
UniRef90_A0A661DBN5	dsrB
UniRef90_A0A661DXZ4	dsrB
UniRef90_A0A661EI62	dsrB
UniRef90_A0A661G6H0	dsrB
UniRef90_A0A661GPA6	dsrB
UniRef90_A0A661IXU7	dsrB
UniRef90_A0A661K8H3	dsrB
UniRef90_A0A661K8J9	dsrB
UniRef90_A0A661KF72	dsrB
UniRef90_A0A661KSG4	dsrB
UniRef90_A0A661MGF2	dsrB
UniRef90_A0A661N3U8	dsrB
UniRef90_A0A661NY20	dsrB
UniRef90_A0A661QGI0	dsrB
UniRef90_A0A661QSS8	dsrB
UniRef90_A0A661RH09	dsrB
UniRef90_A0A661SJL5	dsrB
UniRef90_A0A661T3A6	dsrB
UniRef90_A0A661T3L6	dsrB
UniRef90_A0A661T570	dsrB
UniRef90_A0A661T631	dsrB
UniRef90_A0A662LY84	dsrB
UniRef90_A0A662RKW9	dsrB
UniRef90_A0A662VMN4	dsrB
UniRef90_A0A662VQ75	dsrB
UniRef90_A0A662W677	dsrB
UniRef90_A0A662WA32	dsrB
UniRef90_A0A6B0DVL3	dsrB
UniRef90_A0A6B0DXB3	dsrB
UniRef90_A0A6B2BYM0	dsrB
UniRef90_A0A6B2C446	dsrB
UniRef90_A0A6F8VGK7	dsrB
UniRef90_A0A6G7PX88	dsrB
UniRef90_A0A6H1WU71	dsrB
UniRef90_A0A6I6ECU8	dsrB
UniRef90_A0A6I6JCW6	dsrB
UniRef90_A0A6J4FMA8	dsrB
UniRef90_A0A6J4FQ28	dsrB
UniRef90_A0A6J4G1S7	dsrB
UniRef90_A0A6J4G4N7	dsrB
UniRef90_A0A6L4AMG7	dsrB
UniRef90_A0A6L4AN12	dsrB
UniRef90_A0A6L4AN37	dsrB
UniRef90_A0A6L7ISA4	dsrB
UniRef90_A0A6L7MC31	dsrB
UniRef90_A0A6L7SQQ2	dsrB
UniRef90_A0A6M8NXX0	dsrB
UniRef90_A0A6M8PKN6	dsrB
UniRef90_A0A6M8W9J6	dsrB
UniRef90_A0A6M8WMQ6	dsrB
UniRef90_A0A6N0HPY0	dsrB
UniRef90_A0A6N0HWL2	dsrB
UniRef90_A0A6N1DRR8	dsrB
UniRef90_A0A6N6N138	dsrB
UniRef90_A0A6N6SY58	dsrB
UniRef90_A0A6N8B2X6	dsrB
UniRef90_A0A6N8BCN0	dsrB
UniRef90_A0A6N8BJ79	dsrB
UniRef90_A0A6N8DKJ2	dsrB
UniRef90_A0A6N8IDY5	dsrB
UniRef90_A0A6N8VUT5	dsrB
UniRef90_A0A6N9SLP4	dsrB
UniRef90_A0A6N9TPV8	dsrB
UniRef90_A0A6P1ZKV4	dsrB
UniRef90_A0A6V8LWU8	dsrB
UniRef90_A0A7C0VV82	dsrB
UniRef90_A0A7C0VWN2	dsrB
UniRef90_A0A7C0YQG5	dsrB
UniRef90_A0A7C0ZDG2	dsrB
UniRef90_A0A7C1AFG8	dsrB
UniRef90_A0A7C1ATG0	dsrB
UniRef90_A0A7C1BGD1	dsrB
UniRef90_A0A7C1DI89	dsrB
UniRef90_A0A7C1DMY0	dsrB
UniRef90_A0A7C1FFV4	dsrB
UniRef90_A0A7C1JRZ9	dsrB
UniRef90_A0A7C1JU52	dsrB
UniRef90_A0A7C1K900	dsrB
UniRef90_A0A7C1MKI4	dsrB
UniRef90_A0A7C1N8Q9	dsrB
UniRef90_A0A7C1Q108	dsrB
UniRef90_A0A7C1Q2F7	dsrB
UniRef90_A0A7C1TE12	dsrB
UniRef90_A0A7C1TQR4	dsrB
UniRef90_A0A7C1TVD5	dsrB
UniRef90_A0A7C1TYI0	dsrB
UniRef90_A0A7C1UN61	dsrB
UniRef90_A0A7C1UWT3	dsrB
UniRef90_A0A7C1Y2L7	dsrB
UniRef90_A0A7C1Y853	dsrB
UniRef90_A0A7C1YHG0	dsrB
UniRef90_A0A7C1YL30	dsrB
UniRef90_A0A7C2A6D2	dsrB
UniRef90_A0A7C2LN02	dsrB
UniRef90_A0A7C2PEU4	dsrB
UniRef90_A0A7C2PGD4	dsrB
UniRef90_A0A7C2TJT8	dsrB
UniRef90_A0A7C3DWF5	dsrB
UniRef90_A0A7C3E2Z4	dsrB
UniRef90_A0A7C3ET95	dsrB
UniRef90_A0A7C3G4M3	dsrB
UniRef90_A0A7C3LPV8	dsrB
UniRef90_A0A7C3QC68	dsrB
UniRef90_A0A7C3SHP5	dsrB
UniRef90_A0A7C3SHS4	dsrB
UniRef90_A0A7C3SVR1	dsrB
UniRef90_A0A7C3U0F3	dsrB
UniRef90_A0A7C3UDA1	dsrB
UniRef90_A0A7C3YTA1	dsrB
UniRef90_A0A7C3YXT9	dsrB
UniRef90_A0A7C3YXW6	dsrB
UniRef90_A0A7C3ZA60	dsrB
UniRef90_A0A7C3ZGF8	dsrB
UniRef90_A0A7C4A315	dsrB
UniRef90_A0A7C4AIU3	dsrB
UniRef90_A0A7C4ELD3	dsrB
UniRef90_A0A7C4ES50	dsrB
UniRef90_A0A7C4H103	dsrB
UniRef90_A0A7C4HG85	dsrB
UniRef90_A0A7C4IAT1	dsrB
UniRef90_A0A7C4J636	dsrB
UniRef90_A0A7C4J681	dsrB
UniRef90_A0A7C4K710	dsrB
UniRef90_A0A7C4M9B9	dsrB
UniRef90_A0A7C4R2T5	dsrB
UniRef90_A0A7C4SX73	dsrB
UniRef90_A0A7C4TBR6	dsrB
UniRef90_A0A7C4VZG0	dsrB
UniRef90_A0A7C4YU99	dsrB
UniRef90_A0A7C4Z388	dsrB
UniRef90_A0A7C5ALE1	dsrB
UniRef90_A0A7C5AM81	dsrB
UniRef90_A0A7C5C3V1	dsrB
UniRef90_A0A7C5CLW0	dsrB
UniRef90_A0A7C5CPE0	dsrB
UniRef90_A0A7C5G7U1	dsrB
UniRef90_A0A7C5HIK0	dsrB
UniRef90_A0A7C5KUD2	dsrB
UniRef90_A0A7C5KX05	dsrB
UniRef90_A0A7C5LZV4	dsrB
UniRef90_A0A7C5P7J2	dsrB
UniRef90_A0A7C5QRS7	dsrB
UniRef90_A0A7C5SAJ2	dsrB
UniRef90_A0A7C5SD84	dsrB
UniRef90_A0A7C5T4L2	dsrB
UniRef90_A0A7C5T5R5	dsrB
UniRef90_A0A7C5T663	dsrB
UniRef90_A0A7C5T7J8	dsrB
UniRef90_A0A7C5T7P2	dsrB
UniRef90_A0A7C5T822	dsrB
UniRef90_A0A7C5TAD8	dsrB
UniRef90_A0A7C5TF31	dsrB
UniRef90_A0A7C5TJM9	dsrB
UniRef90_A0A7C5TND9	dsrB
UniRef90_A0A7C5UXY1	dsrB
UniRef90_A0A7C5V057	dsrB
UniRef90_A0A7C5W0M9	dsrB
UniRef90_A0A7C5WFR2	dsrB
UniRef90_A0A7C6A2D8	dsrB
UniRef90_A0A7C6FA70	dsrB
UniRef90_A0A7C6FD04	dsrB
UniRef90_A0A7C6FJR2	dsrB
UniRef90_A0A7C6QHB6	dsrB
UniRef90_A0A7C6QK16	dsrB
UniRef90_A0A7C7CAW0	dsrB
UniRef90_A0A7C7D7F4	dsrB
UniRef90_A0A7C7R2J6	dsrB
UniRef90_A0A7C7RDD7	dsrB
UniRef90_A0A7C7T040	dsrB
UniRef90_A0A7C7TAT6	dsrB
UniRef90_A0A7C7XTM5	dsrB
UniRef90_A0A7C7YXS2	dsrB
UniRef90_A0A7C8ANK5	dsrB
UniRef90_A0A7C8E7G7	dsrB
UniRef90_A0A7C8EFQ7	dsrB
UniRef90_A0A7C8M7H1	dsrB
UniRef90_A0A7C9K504	dsrB
UniRef90_A0A7C9N3Y7	dsrB
UniRef90_A0A7G1H3P1	dsrB
UniRef90_A0A7G6E1T7	dsrB
UniRef90_A0A7G6E1T8	dsrB
UniRef90_A0A7I8MU97	dsrB
UniRef90_A0A7J0BRN1	dsrB
UniRef90_A0A7J2KTZ6	dsrB
UniRef90_A0A7J3M354	dsrB
UniRef90_A0A7J3TBE1	dsrB
UniRef90_A0A7J3TBR5	dsrB
UniRef90_A0A7K3NNJ4	dsrB
UniRef90_A0A7K4DZE6	dsrB
UniRef90_A0A7L6AV00	dsrB
UniRef90_A0A7M1I435	dsrB
UniRef90_A0A7M1I481	dsrB
UniRef90_A0A7R9NEV7	dsrB
UniRef90_A0A7U1D1H6	dsrB
UniRef90_A0A7U6JKF5	dsrB
UniRef90_A0A7V0JQU3	dsrB
UniRef90_A0A7V0V9J4	dsrB
UniRef90_A0A7V1F711	dsrB
UniRef90_A0A7V1FV67	dsrB
UniRef90_A0A7V1FVM6	dsrB
UniRef90_A0A7V1IC20	dsrB
UniRef90_A0A7V1IC73	dsrB
UniRef90_A0A7V1JDG1	dsrB
UniRef90_A0A7V1SK44	dsrB
UniRef90_A0A7V1ZX51	dsrB
UniRef90_A0A7V2AK47	dsrB
UniRef90_A0A7V2H0B6	dsrB
UniRef90_A0A7V2JQD1	dsrB
UniRef90_A0A7V2NLV2	dsrB
UniRef90_A0A7V2SVH9	dsrB
UniRef90_A0A7V2T1D4	dsrB
UniRef90_A0A7V2T4R4	dsrB
UniRef90_A0A7V2WZN2	dsrB
UniRef90_A0A7V2X9Q8	dsrB
UniRef90_A0A7V2YBN1	dsrB
UniRef90_A0A7V2Z0R9	dsrB
UniRef90_A0A7V3K1U5	dsrB
UniRef90_A0A7V3K284	dsrB
UniRef90_A0A7V3VJZ4	dsrB
UniRef90_A0A7V3W8L5	dsrB
UniRef90_A0A7V4B132	dsrB
UniRef90_A0A7V4G959	dsrB
UniRef90_A0A7V4SMY6	dsrB
UniRef90_A0A7V5GSZ2	dsrB
UniRef90_A0A7V5H0I0	dsrB
UniRef90_A0A7V5K3F0	dsrB
UniRef90_A0A7V5K5H1	dsrB
UniRef90_A0A7V5KA47	dsrB
UniRef90_A0A7V5P1L6	dsrB
UniRef90_A0A7V5R450	dsrB
UniRef90_A0A7V5U2N7	dsrB
UniRef90_A0A7V5UPS8	dsrB
UniRef90_A0A7V5YTT3	dsrB
UniRef90_A0A7V5ZH13	dsrB
UniRef90_A0A7V5ZHZ2	dsrB
UniRef90_A0A7V6D2L4	dsrB
UniRef90_A0A7V6E947	dsrB
UniRef90_A0A7V6GAS1	dsrB
UniRef90_A0A7V7WMN9	dsrB
UniRef90_A0A7V7WV42	dsrB
UniRef90_A0A7V7XL17	dsrB
UniRef90_A0A7V8BYC5	dsrB
UniRef90_A0A7V8INR6	dsrB
UniRef90_A0A7W0C656	dsrB
UniRef90_A0A7W0EHN2	dsrB
UniRef90_A0A7W0ERW7	dsrB
UniRef90_A0A7W0EZK7	dsrB
UniRef90_A0A7W0FC60	dsrB
UniRef90_A0A7W0IQ26	dsrB
UniRef90_A0A7X1L7W4	dsrB
UniRef90_A0A7X1L8W5	dsrB
UniRef90_A0A7X6X2W3	dsrB
UniRef90_A0A7X6X5Q4	dsrB
UniRef90_A0A7X6YV18	dsrB
UniRef90_A0A7X7LPD8	dsrB
UniRef90_A0A7X7LPU6	dsrB
UniRef90_A0A7X7WRB1	dsrB
UniRef90_A0A7X7Y8V8	dsrB
UniRef90_A0A7X8CFS8	dsrB
UniRef90_A0A7X8MLX0	dsrB
UniRef90_A0A7X8MNL6	dsrB
UniRef90_A0A7X9JWK8	dsrB
UniRef90_A0A7Y0C5V9	dsrB
UniRef90_A0A7Y0THN9	dsrB
UniRef90_A0A7Y0THV9	dsrB
UniRef90_A0A7Y2XRJ6	dsrB
UniRef90_A0A7Y3FGU1	dsrB
UniRef90_A0A7Y3FXI3	dsrB
UniRef90_A0A7Y3GJ06	dsrB
UniRef90_A0A7Y5SPN9	dsrB
UniRef90_A0A7Y5SPS5	dsrB
UniRef90_A0A7Y8H832	dsrB
UniRef90_A0A7Y8HV78	dsrB
UniRef90_A0A7Y8JDU3	dsrB
UniRef90_A0A7Y8KZL0	dsrB
UniRef90_A0A7Y8LP04	dsrB
UniRef90_A0A7Y8LQH7	dsrB
UniRef90_A0A7Z0VKT2	dsrB
UniRef90_A0A7Z1R1R5	dsrB
UniRef90_A0A7Z9WDN8	dsrB
UniRef90_A0A7Z9WIN0	dsrB
UniRef90_A0A7Z9YYR6	dsrB
UniRef90_A0A800BPP6	dsrB
UniRef90_A0A829ZRA8	dsrB
UniRef90_A0A830GTB4	dsrB
UniRef90_A0A830GTU2	dsrB
UniRef90_A0A831K8Q1	dsrB
UniRef90_A0A831KCP2	dsrB
UniRef90_A0A832A8K2	dsrB
UniRef90_A0A832DDU6	dsrB
UniRef90_A0A832DIR3	dsrB
UniRef90_A0A832ET86	dsrB
UniRef90_A0A832J1G3	dsrB
UniRef90_A0A832MV77	dsrB
UniRef90_A0A832QSR3	dsrB
UniRef90_A0A832QW30	dsrB
UniRef90_A0A832Z0F5	dsrB
UniRef90_A0A836T200	dsrB
UniRef90_A0A836W8C5	dsrB
UniRef90_A0A838LZC9	dsrB
UniRef90_A0A843HZG4	dsrB
UniRef90_A0A843I1V1	dsrB
UniRef90_A0A846P373	dsrB
UniRef90_A0A846P6D8	dsrB
UniRef90_A0A847JGC6	dsrB
UniRef90_A0A847JL93	dsrB
UniRef90_A0A847QJD5	dsrB
UniRef90_A0A847QKL5	dsrB
UniRef90_A0A847QLT3	dsrB
UniRef90_A0A847VFM3	dsrB
UniRef90_A0A848Z390	dsrB
UniRef90_A0A849ETF0	dsrB
UniRef90_A0A849I7B4	dsrB
UniRef90_A0A8A3X8C4	dsrB
UniRef90_A0A8A3Y553	dsrB
UniRef90_A0A8F2B0N7	dsrB
UniRef90_A0A8F7ZGA0	dsrB
UniRef90_A0A8I0SW80	dsrB
UniRef90_A0A8I0T2F7	dsrB
UniRef90_A0A8I2BHK5	dsrB
UniRef90_A0AAW5	dsrB
UniRef90_A0AAW7	dsrB
UniRef90_A0AAX1	dsrB
UniRef90_A0AAX5	dsrB
UniRef90_A0AAX8	dsrB
UniRef90_A0AAX9	dsrB
UniRef90_A0AAY0	dsrB
UniRef90_A0AAY2	dsrB
UniRef90_A0AAY3	dsrB
UniRef90_A0AAY4	dsrB
UniRef90_A0AAY7	dsrB
UniRef90_A0AAZ4	dsrB
UniRef90_A0AAZ6	dsrB
UniRef90_A0AAZ8	dsrB
UniRef90_A0AB03	dsrB
UniRef90_A0AB04	dsrB
UniRef90_A0AB06	dsrB
UniRef90_A0AB08	dsrB
UniRef90_A0AB09	dsrB
UniRef90_A0L9L4	dsrB
UniRef90_A0L9L5	dsrB
UniRef90_A0LQK7	dsrB
UniRef90_A1BCS1	dsrB
UniRef90_A1DW66	dsrB
UniRef90_A1DW68	dsrB
UniRef90_A1DW70	dsrB
UniRef90_A1DW72	dsrB
UniRef90_A1DW74	dsrB
UniRef90_A1DW76	dsrB
UniRef90_A1DW80	dsrB
UniRef90_A1DW81	dsrB
UniRef90_A1DW82	dsrB
UniRef90_A1DW84	dsrB
UniRef90_A1DW86	dsrB
UniRef90_A1DWA0	dsrB
UniRef90_A1DWA5	dsrB
UniRef90_A1DWB1	dsrB
UniRef90_A1DWB2	dsrB
UniRef90_A1DWB6	dsrB
UniRef90_A1DWC2	dsrB
UniRef90_A1DWC8	dsrB
UniRef90_A1DWD2	dsrB
UniRef90_A1DWD4	dsrB
UniRef90_A1DWD9	dsrB
UniRef90_A1DWE0	dsrB
UniRef90_A1DWE8	dsrB
UniRef90_A1DWF0	dsrB
UniRef90_A1DWF2	dsrB
UniRef90_A1DWF4	dsrB
UniRef90_A1DWG4	dsrB
UniRef90_A1DWG6	dsrB
UniRef90_A1DWG7	dsrB
UniRef90_A1DWG8	dsrB
UniRef90_A1DWG9	dsrB
UniRef90_A1DWH0	dsrB
UniRef90_A1DWH6	dsrB
UniRef90_A1DWK2	dsrB
UniRef90_A1DWL8	dsrB
UniRef90_A1HQ01	dsrB
UniRef90_A1HQ02	dsrB
UniRef90_A1IHQ8	dsrB
UniRef90_A1IHR5	dsrB
UniRef90_A1WYF4	dsrB
UniRef90_A1Z1D9	dsrB
UniRef90_A3MW48	dsrB
UniRef90_A3MW49	dsrB
UniRef90_A3MW59	dsrB
UniRef90_A3MW60	dsrB
UniRef90_A4GTT8	dsrB
UniRef90_A4GTU4	dsrB
UniRef90_A4GTU6	dsrB
UniRef90_A4GTU7	dsrB
UniRef90_A4K316	dsrB
UniRef90_A4K338	dsrB
UniRef90_A4K342	dsrB
UniRef90_A4K346	dsrB
UniRef90_A4TYV0	dsrB
UniRef90_A4V8Y6	dsrB
UniRef90_A4V8Y7	dsrB
UniRef90_A4V8Y9	dsrB
UniRef90_A4V905	dsrB
UniRef90_A4V906	dsrB
UniRef90_A4V907	dsrB
UniRef90_A6BLP5	dsrB
UniRef90_A6YRL1	dsrB
UniRef90_A6YRL5	dsrB
UniRef90_A8MD33	dsrB
UniRef90_A8W6Y2	dsrB
UniRef90_A8W6Z6	dsrB
UniRef90_A8ZX94	dsrB
UniRef90_A9QT48	dsrB
UniRef90_A9QT50	dsrB
UniRef90_A9QT51	dsrB
UniRef90_A9QT60	dsrB
UniRef90_A9QT61	dsrB
UniRef90_A9QT63	dsrB
UniRef90_A9QT71	dsrB
UniRef90_A9QT72	dsrB
UniRef90_A9QT74	dsrB
UniRef90_A9QT77	dsrB
UniRef90_A9QT78	dsrB
UniRef90_A9QT80	dsrB
UniRef90_A9QT83	dsrB
UniRef90_A9QT84	dsrB
UniRef90_A9QT86	dsrB
UniRef90_A9QT87	dsrB
UniRef90_A9QT91	dsrB
UniRef90_A9QT95	dsrB
UniRef90_A9QT97	dsrB
UniRef90_A9QTA4	dsrB
UniRef90_A9QTB5	dsrB
UniRef90_A9QTB8	dsrB
UniRef90_A9QTC0	dsrB
UniRef90_A9QTC1	dsrB
UniRef90_A9QTC4	dsrB
UniRef90_A9QTC6	dsrB
UniRef90_A9QTC7	dsrB
UniRef90_A9QTC8	dsrB
UniRef90_A9QTD2	dsrB
UniRef90_A9QTD3	dsrB
UniRef90_A9QTD9	dsrB
UniRef90_A9QTE3	dsrB
UniRef90_A9QTE4	dsrB
UniRef90_A9QTF2	dsrB
UniRef90_A9QTF4	dsrB
UniRef90_A9QTF6	dsrB
UniRef90_A9QTF9	dsrB
UniRef90_B1AAN7	dsrB
UniRef90_B1I6N9	dsrB
UniRef90_B1PVT9	dsrB
UniRef90_B2KYH8	dsrB
UniRef90_B2YHG4	dsrB
UniRef90_B2YHG8	dsrB
UniRef90_B3EHJ7	dsrB
UniRef90_B3ELT2	dsrB
UniRef90_B3ELT3	dsrB
UniRef90_B3Y9E3	dsrB
UniRef90_B3Y9E4	dsrB
UniRef90_B3Y9E9	dsrB
UniRef90_B3Y9F2	dsrB
UniRef90_B3Y9F3	dsrB
UniRef90_B3Y9F4	dsrB
UniRef90_B4SE96	dsrB
UniRef90_B4SE97	dsrB
UniRef90_B5TYQ5	dsrB
UniRef90_B5TYQ6	dsrB
UniRef90_B5YIF3	dsrB
UniRef90_B6CNQ8	dsrB
UniRef90_B6CNR2	dsrB
UniRef90_B6CNR4	dsrB
UniRef90_B6CNS6	dsrB
UniRef90_B6RG05	dsrB
UniRef90_B6RG16	dsrB
UniRef90_B6RG17	dsrB
UniRef90_B6RG20	dsrB
UniRef90_B6RG25	dsrB
UniRef90_B6RG41	dsrB
UniRef90_B6VHW1	dsrB
UniRef90_B6VI43	dsrB
UniRef90_B6VI67	dsrB
UniRef90_B6VI71	dsrB
UniRef90_B6VI82	dsrB
UniRef90_B6VI84	dsrB
UniRef90_B6VI97	dsrB
UniRef90_B6VIC2	dsrB
UniRef90_B6WUZ4	dsrB
UniRef90_B7XBY0	dsrB
UniRef90_B8FME2	dsrB
UniRef90_B8ZVA6	dsrB
UniRef90_B8ZVB4	dsrB
UniRef90_B8ZVC2	dsrB
UniRef90_B8ZVC4	dsrB
UniRef90_B8ZVD2	dsrB
UniRef90_B8ZVE2	dsrB
UniRef90_B8ZVF0	dsrB
UniRef90_B8ZVG2	dsrB
UniRef90_B8ZVG8	dsrB
UniRef90_B8ZVH0	dsrB
UniRef90_B8ZVI0	dsrB
UniRef90_B8ZVI6	dsrB
UniRef90_B8ZVJ2	dsrB
UniRef90_B8ZVJ6	dsrB
UniRef90_B8ZVK2	dsrB
UniRef90_B8ZVK6	dsrB
UniRef90_B8ZVM4	dsrB
UniRef90_B8ZVN0	dsrB
UniRef90_B8ZVN2	dsrB
UniRef90_B8ZVT0	dsrB
UniRef90_B8ZVT8	dsrB
UniRef90_B8ZW40	dsrB
UniRef90_B9V4G5	dsrB
UniRef90_B9V4G6	dsrB
UniRef90_B9V4H7	dsrB
UniRef90_B9VPK3	dsrB
UniRef90_B9VPK5	dsrB
UniRef90_B9VPK9	dsrB
UniRef90_B9VPL1	dsrB
UniRef90_B9VPL5	dsrB
UniRef90_C0A1G7	dsrB
UniRef90_C0JUH4	dsrB
UniRef90_C0JUH5	dsrB
UniRef90_C0JUI1	dsrB
UniRef90_C0JUI2	dsrB
UniRef90_C0JUI4	dsrB
UniRef90_C0JUI5	dsrB
UniRef90_C0JUI6	dsrB
UniRef90_C0JUI7	dsrB
UniRef90_C0LNI3	dsrB
UniRef90_C0LNI4	dsrB
UniRef90_C0LNI6	dsrB
UniRef90_C0LNI9	dsrB
UniRef90_C0LNJ0	dsrB
UniRef90_C0LNJ1	dsrB
UniRef90_C0LNJ2	dsrB
UniRef90_C0LNJ4	dsrB
UniRef90_C0LNJ6	dsrB
UniRef90_C0LNJ8	dsrB
UniRef90_C0LNK0	dsrB
UniRef90_C0LNK2	dsrB
UniRef90_C0LNK5	dsrB
UniRef90_C0LNK6	dsrB
UniRef90_C0LNK8	dsrB
UniRef90_C0LNL2	dsrB
UniRef90_C0LNL7	dsrB
UniRef90_C0LNL8	dsrB
UniRef90_C0LNL9	dsrB
UniRef90_C0LNM0	dsrB
UniRef90_C0LNM8	dsrB
UniRef90_C0LNN2	dsrB
UniRef90_C0LNN8	dsrB
UniRef90_C0LNP0	dsrB
UniRef90_C0LNP6	dsrB
UniRef90_C0LNP7	dsrB
UniRef90_C0LNP8	dsrB
UniRef90_C0LNP9	dsrB
UniRef90_C0LNQ0	dsrB
UniRef90_C0LNQ2	dsrB
UniRef90_C0QD63	dsrB
UniRef90_C1KBC9	dsrB
UniRef90_C1KBD1	dsrB
UniRef90_C1KBD5	dsrB
UniRef90_C1KBD8	dsrB
UniRef90_C1KBD9	dsrB
UniRef90_C3UZA7	dsrB
UniRef90_C3UZA9	dsrB
UniRef90_C3UZB3	dsrB
UniRef90_C3UZB5	dsrB
UniRef90_C3W7B4	dsrB
UniRef90_C3W7B5	dsrB
UniRef90_C3W7B7	dsrB
UniRef90_C3W7C3	dsrB
UniRef90_C3W7C7	dsrB
UniRef90_C3W7E0	dsrB
UniRef90_C3W7E3	dsrB
UniRef90_C3W7E6	dsrB
UniRef90_C3W7E7	dsrB
UniRef90_C3W7E8	dsrB
UniRef90_C3W7E9	dsrB
UniRef90_C3W7F0	dsrB
UniRef90_C3W7F1	dsrB
UniRef90_C3W7F4	dsrB
UniRef90_C3W7G0	dsrB
UniRef90_C3W8W5	dsrB
UniRef90_C3W8Y6	dsrB
UniRef90_C4P8A2	dsrB
UniRef90_C4P8A9	dsrB
UniRef90_C4PGI0	dsrB
UniRef90_C4PGI2	dsrB
UniRef90_C4PGI4	dsrB
UniRef90_C4PGI7	dsrB
UniRef90_C4PGJ0	dsrB
UniRef90_C4PGJ4	dsrB
UniRef90_C4PGK8	dsrB
UniRef90_C5E7G6	dsrB
UniRef90_C5E7G8	dsrB
UniRef90_C6H166	dsrB
UniRef90_C7LUX3	dsrB
UniRef90_C8W1Y9	dsrB
UniRef90_C8WZS2	dsrB
UniRef90_D0QAU7	dsrB
UniRef90_D3RSN2	dsrB
UniRef90_D3Y4C7	dsrB
UniRef90_D7QYI4	dsrB
