"Habitat"	"Depth.Interval"	"granularity"	"corrected_.pvalue"	"R2"	"Test_direction"	"corrected_.pvalue_sigflag"	"MantelY"	"MantelX"	"lens"
"Fen"	"20-29"	"Networks - Rho correlation of degree structure - medium"	0.828	0.0591522105181885	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"30-39"	"Networks - Rho correlation of degree structure - medium"	0.828	0.0591522105181885	"Change with time"	NA	NA	NA	"Organisations"
"Palsa"	"0-9"	"Networks - Overlap of tripartite relationships - fine"	0.569	0.138361008302768	"Change with time"	NA	NA	NA	"Organisations"
"Palsa"	"10-19"	"Networks - Overlap of tripartite relationships - fine"	0.569	0.138361008302768	"Change with time"	NA	NA	NA	"Organisations"
"Palsa"	"20-29"	"Networks - Overlap of tripartite relationships - fine"	0.569	0.138361008302768	"Change with time"	NA	NA	NA	"Organisations"
"Palsa"	"30-39"	"Networks - Overlap of tripartite relationships - fine"	0.569	0.138361008302768	"Change with time"	NA	NA	NA	"Organisations"
"Bog"	"0-9"	"Networks - Overlap of tripartite relationships - fine"	0.003	0.580887999920188	"Change with time"	"*"	NA	NA	"Organisations"
"Bog"	"10-19"	"Networks - Overlap of tripartite relationships - fine"	0.003	0.580887999920188	"Change with time"	NA	NA	NA	"Organisations"
"Bog"	"20-29"	"Networks - Overlap of tripartite relationships - fine"	0.003	0.580887999920188	"Change with time"	NA	NA	NA	"Organisations"
"Bog"	"30-39"	"Networks - Overlap of tripartite relationships - fine"	0.003	0.580887999920188	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"0-9"	"Networks - Overlap of tripartite relationships - fine"	0.88	0.0372193684159388	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"10-19"	"Networks - Overlap of tripartite relationships - fine"	0.88	0.0372193684159388	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"20-29"	"Networks - Overlap of tripartite relationships - fine"	0.88	0.0372193684159388	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"30-39"	"Networks - Overlap of tripartite relationships - fine"	0.88	0.0372193684159388	"Change with time"	NA	NA	NA	"Organisations"
"Fen"	"20-29"	"Diversity - Richness - strain"	0.765807222773573	0.00706691139940518	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"20-29"	"Diversity - Shannon - strain"	0.335500525432062	0.071445870622078	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"20-29"	"Diversity - Pielou's evenness - strain"	0.142608471712182	0.157795090845707	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"0-9"	"Diversity - Richness - strain"	0.459853388143083	0.0211890545442076	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"0-9"	"Diversity - Shannon - strain"	0.39636221914324	0.0278085115122685	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"0-9"	"Diversity - Pielou's evenness - strain"	0.501144800492464	0.0175851624050294	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"30-39"	"Diversity - Richness - strain"	0.665867844721874	0.01479474487591	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"30-39"	"Diversity - Shannon - strain"	0.145723470906769	0.15556430689243	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"30-39"	"Diversity - Pielou's evenness - strain"	0.0619527584316967	0.242905336275748	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"10-19"	"Diversity - Richness - strain"	0.73908793494047	0.00959038845436624	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"10-19"	"Diversity - Shannon - strain"	0.813006643237909	0.00484923562396627	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"10-19"	"Diversity - Pielou's evenness - strain"	0.997348556035687	9.59355912677469e-07	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"0-9"	"Diversity - Richness - strain"	0.521604106552802	0.032294891262731	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"0-9"	"Diversity - Shannon - strain"	0.211993757797525	0.117035226726589	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"0-9"	"Diversity - Pielou's evenness - strain"	0.212967700875204	0.116568138214803	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"20-29"	"Diversity - Richness - strain"	0.393650057934927	0.0922205391618281	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"20-29"	"Diversity - Shannon - strain"	0.409121899361966	0.0866189952914426	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"20-29"	"Diversity - Pielou's evenness - strain"	0.677148233805812	0.0227963023323239	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"10-19"	"Diversity - Richness - strain"	0.969485627695001	8.86417536341693e-05	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"10-19"	"Diversity - Shannon - strain"	0.403102033818532	0.0414589943726434	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"10-19"	"Diversity - Pielou's evenness - strain"	0.174027223959013	0.105876543701717	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"0-9"	"Diversity - Richness - strain"	0.555191792526266	0.0186326783686451	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"0-9"	"Diversity - Shannon - strain"	0.567179964268156	0.0175358575876203	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"0-9"	"Diversity - Pielou's evenness - strain"	0.589783321374983	0.0155836000244436	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"20-29"	"Diversity - Richness - strain"	0.554874990165531	0.0274829528790492	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"20-29"	"Diversity - Shannon - strain"	0.459633814389716	0.0427605550889503	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"20-29"	"Diversity - Pielou's evenness - strain"	0.580894648421751	0.024067496108103	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"30-39"	"Diversity - Richness - strain"	0.860379067818223	0.00268408527291982	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"30-39"	"Diversity - Shannon - strain"	0.550786157307064	0.0304431858608006	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"30-39"	"Diversity - Pielou's evenness - strain"	0.855716380414637	0.0028681057050663	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"10-19"	"Diversity - Richness - strain"	0.34907499290803	0.146653595683974	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"10-19"	"Diversity - Shannon - strain"	0.0715184513871559	0.443225006670479	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"10-19"	"Diversity - Pielou's evenness - strain"	0.0575683803938342	0.47789558237445	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"30-39"	"Diversity - Richness - strain"	0.00818375049996501	0.655487748639371	"Change with time"	"*"	NA	NA	"Organisms"
"Fen"	"30-39"	"Diversity - Shannon - strain"	0.0109858347523816	0.626957403844153	"Change with time"	"*"	NA	NA	"Organisms"
"Fen"	"30-39"	"Diversity - Pielou's evenness - strain"	0.0337417672441563	0.4976747443027	"Change with time"	"*"	NA	NA	"Organisms"
