Desulfovibrio_vulgaris_Hildenborough_DVU0402	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_A0A419FZY0	dsrA
UniRef90_A0A419G542	dsrA
UniRef90_A0A419GEH2	dsrA
UniRef90_A0A419GUB1	dsrA
UniRef90_A0A419GWD7	dsrA
UniRef90_A0A419GWH0	dsrA
UniRef90_A0A422HJZ4	dsrA
UniRef90_A0A423UN56	dsrA
UniRef90_A0A424XXN6	dsrA
UniRef90_A0A426QDU6	dsrA
UniRef90_A0A426QH26	dsrA
UniRef90_A0A429GHH3	dsrA
UniRef90_A0A432EU20	dsrA
UniRef90_A0A432FJ29	dsrA
UniRef90_A0A432HIP9	dsrA
UniRef90_A0A432Q723	dsrA
UniRef90_A0A432QLS8	dsrA
UniRef90_A0A432QQ51	dsrA
UniRef90_A0A432TKS0	dsrA
UniRef90_A0A432UVQ9	dsrA
UniRef90_A0A437JXM0	dsrA
UniRef90_A0A445MW92	dsrA
UniRef90_A0A451BTM6	dsrA
UniRef90_A0A484H880	dsrA
UniRef90_A0A484HMK4	dsrA
UniRef90_A0A494WWU1	dsrA
UniRef90_A0A496VDQ9	dsrA
UniRef90_A0A496VTV6	dsrA
UniRef90_A0A496WAL2	dsrA
UniRef90_A0A496WAV7	dsrA
UniRef90_A0A496Y4F3	dsrA
UniRef90_A0A496YK20	dsrA
UniRef90_A0A496YZX3	dsrA
UniRef90_A0A496ZD55	dsrA
UniRef90_A0A497E8K1	dsrA
UniRef90_A0A497J5X6	dsrA
UniRef90_A0A497JEV3	dsrA
UniRef90_A0A497RMY4	dsrA
UniRef90_A0A498R9U9	dsrA
UniRef90_A0A4P6BB22	dsrA
UniRef90_A0A4P8L192	dsrA
UniRef90_A0A4Q3LEP7	dsrA
UniRef90_A0A4Q3ZNC3	dsrA
UniRef90_A0A4R1BF22	dsrA
UniRef90_A0A4R1PZ94	dsrA
UniRef90_A0A4R3J4T3	dsrA
UniRef90_A0A4R8IZ66	dsrA
UniRef90_A0A4U1AJ01	dsrA
UniRef90_A0A4U1ALM0	dsrA
UniRef90_A0A4V1S302	dsrA
UniRef90_A0A4V2W249	dsrA
UniRef90_A0A4Y7RNF8	dsrA
UniRef90_A0A4Z0QQ54	dsrA
UniRef90_A0A509KYI8	dsrA
UniRef90_A0A509L6P8	dsrA
UniRef90_A0A519BCI5	dsrA
UniRef90_A0A519BMJ7	dsrA
UniRef90_A0A520M5U7	dsrA
UniRef90_A0A520PBG0	dsrA
UniRef90_A0A520XBU1	dsrA
UniRef90_A0A521VQ19	dsrA
UniRef90_A0A521XW96	dsrA
UniRef90_A0A522BU71	dsrA
UniRef90_A0A522CAH4	dsrA
UniRef90_A0A522CZJ2	dsrA
UniRef90_A0A522FKI8	dsrA
UniRef90_A0A522M0A3	dsrA
UniRef90_A0A522M3E9	dsrA
UniRef90_A0A522M6C4	dsrA
UniRef90_A0A522M6H6	dsrA
UniRef90_A0A522UVV4	dsrA
UniRef90_A0A522VD55	dsrA
UniRef90_A0A522W1V4	dsrA
UniRef90_A0A523ABH6	dsrA
UniRef90_A0A523ACB8	dsrA
UniRef90_A0A523CDR9	dsrA
UniRef90_A0A523L556	dsrA
UniRef90_A0A523QVW9	dsrA
UniRef90_A0A523WLR1	dsrA
UniRef90_A0A523Y465	dsrA
UniRef90_A0A524H0K3	dsrA
UniRef90_A0A524R2M3	dsrA
UniRef90_A0A525C2I6	dsrA
UniRef90_A0A525CDJ3	dsrA
UniRef90_A0A525D809	dsrA
UniRef90_A0A532V0S9	dsrA
UniRef90_A0A533TS06	dsrA
UniRef90_A0A533TSW1	dsrA
UniRef90_A0A533U516	dsrA
UniRef90_A0A558CS21	dsrA
UniRef90_A0A558CYA2	dsrA
UniRef90_A0A5C2HN41	dsrA
UniRef90_A0A5C7JIE5	dsrA
UniRef90_A0A5C7QQM6	dsrA
UniRef90_A0A5C7R9K4	dsrA
UniRef90_A0A5C7RR17	dsrA
UniRef90_A0A5C7RZ26	dsrA
UniRef90_A0A5C9BGZ1	dsrA
UniRef90_A0A5C9BLL2	dsrA
UniRef90_A0A5C9CP29	dsrA
UniRef90_A0A5D0R9V7	dsrA
UniRef90_A0A5M8FSU1	dsrA
UniRef90_A0A5P1UZ68	dsrA
UniRef90_A0A5Q0EL22	dsrA
UniRef90_A0A5S5MEP4	dsrA
UniRef90_A0A644TLT7	dsrA
UniRef90_A0A651FYQ1	dsrA
UniRef90_A0A653A316	dsrA
UniRef90_A0A657PT82	dsrA
UniRef90_A0A657Q237	dsrA
UniRef90_A0A658BPW5	dsrA
UniRef90_A0A660PBW6	dsrA
UniRef90_A0A660Q4U5	dsrA
UniRef90_A0A660RZ99	dsrA
UniRef90_A0A661BVJ3	dsrA
UniRef90_A0A661DAH8	dsrA
UniRef90_A0A661EG63	dsrA
UniRef90_A0A661G4N9	dsrA
UniRef90_A0A661GMI5	dsrA
UniRef90_A0A661GPD7	dsrA
UniRef90_A0A661J1Z7	dsrA
UniRef90_A0A661K8J9	dsrA
UniRef90_A0A661KEH2	dsrA
UniRef90_A0A661LH92	dsrA
UniRef90_A0A661MHW1	dsrA
UniRef90_A0A661NYD6	dsrA
UniRef90_A0A661QGK9	dsrA
UniRef90_A0A661QSY4	dsrA
UniRef90_A0A661R6U1	dsrA
UniRef90_A0A661SK88	dsrA
UniRef90_A0A661T436	dsrA
UniRef90_A0A661T4R8	dsrA
UniRef90_A0A662RMU0	dsrA
UniRef90_A0A662VMN4	dsrA
UniRef90_A0A662VNB4	dsrA
UniRef90_A0A662VRP0	dsrA
UniRef90_A0A662W3K9	dsrA
UniRef90_A0A662W8U1	dsrA
UniRef90_A0A6B0DVL3	dsrA
UniRef90_A0A6B2BYM0	dsrA
UniRef90_A0A6B2NWM1	dsrA
UniRef90_A0A6F8V9D5	dsrA
UniRef90_A0A6F8VH37	dsrA
UniRef90_A0A6G7PWU3	dsrA
UniRef90_A0A6G7VAT7	dsrA
UniRef90_A0A6H1WU61	dsrA
UniRef90_A0A6H9Y116	dsrA
UniRef90_A0A6I7N9P5	dsrA
UniRef90_A0A6J4FQ28	dsrA
UniRef90_A0A6J4G1S7	dsrA
UniRef90_A0A6J4Y5D8	dsrA
UniRef90_A0A6L4ALV3	dsrA
UniRef90_A0A6L4AN37	dsrA
UniRef90_A0A6L7MBB0	dsrA
UniRef90_A0A6L7SQV6	dsrA
UniRef90_A0A6L8CQ25	dsrA
UniRef90_A0A6M8W9J6	dsrA
UniRef90_A0A6N0HPT1	dsrA
UniRef90_A0A6N0HWM1	dsrA
UniRef90_A0A6N1DSE5	dsrA
UniRef90_A0A6N6N1C4	dsrA
UniRef90_A0A6N6SZH4	dsrA
UniRef90_A0A6N7ALC1	dsrA
UniRef90_A0A6N8B5N2	dsrA
UniRef90_A0A6N8BC23	dsrA
UniRef90_A0A6N8DHC2	dsrA
UniRef90_A0A6N8VIS7	dsrA
UniRef90_A0A6N9SNX6	dsrA
UniRef90_A0A6N9TKK4	dsrA
UniRef90_A0A6P1ZMT0	dsrA
UniRef90_A0A6S6U8Z3	dsrA
UniRef90_A0A6V8LUZ4	dsrA
UniRef90_A0A7C0UDS0	dsrA
UniRef90_A0A7C0VWN2	dsrA
UniRef90_A0A7C0WU40	dsrA
UniRef90_A0A7C0XC67	dsrA
UniRef90_A0A7C0ZCS1	dsrA
UniRef90_A0A7C1ACW0	dsrA
UniRef90_A0A7C1ATN6	dsrA
UniRef90_A0A7C1DB14	dsrA
UniRef90_A0A7C1I4R6	dsrA
UniRef90_A0A7C1JLZ9	dsrA
UniRef90_A0A7C1JRZ9	dsrA
UniRef90_A0A7C1K8W2	dsrA
UniRef90_A0A7C1Q2F7	dsrA
UniRef90_A0A7C1TJ51	dsrA
UniRef90_A0A7C1TQ64	dsrA
UniRef90_A0A7C1TXX0	dsrA
UniRef90_A0A7C1TZQ3	dsrA
UniRef90_A0A7C1U3N0	dsrA
UniRef90_A0A7C1U7V5	dsrA
UniRef90_A0A7C1VMU7	dsrA
UniRef90_A0A7C1XBB4	dsrA
UniRef90_A0A7C1XLU7	dsrA
UniRef90_A0A7C1YGL0	dsrA
UniRef90_A0A7C1YPI8	dsrA
UniRef90_A0A7C1Z8V2	dsrA
UniRef90_A0A7C1ZCQ4	dsrA
UniRef90_A0A7C1ZV22	dsrA
UniRef90_A0A7C2NMV1	dsrA
UniRef90_A0A7C2PEU4	dsrA
UniRef90_A0A7C3E2Z4	dsrA
UniRef90_A0A7C3F033	dsrA
UniRef90_A0A7C3LPV8	dsrA
UniRef90_A0A7C3QK31	dsrA
UniRef90_A0A7C3SHP5	dsrA
UniRef90_A0A7C3TTG4	dsrA
UniRef90_A0A7C3UHM1	dsrA
UniRef90_A0A7C3WSH4	dsrA
UniRef90_A0A7C3YXT9	dsrA
UniRef90_A0A7C3ZZU4	dsrA
UniRef90_A0A7C4ES55	dsrA
UniRef90_A0A7C4GNN7	dsrA
UniRef90_A0A7C4I8M0	dsrA
UniRef90_A0A7C4IVV0	dsrA
UniRef90_A0A7C4J636	dsrA
UniRef90_A0A7C4K5T3	dsrA
UniRef90_A0A7C4NWV9	dsrA
UniRef90_A0A7C4R2M4	dsrA
UniRef90_A0A7C4SRD9	dsrA
UniRef90_A0A7C4W0K2	dsrA
UniRef90_A0A7C4W5V1	dsrA
UniRef90_A0A7C4XCZ8	dsrA
UniRef90_A0A7C4Z388	dsrA
UniRef90_A0A7C5AM81	dsrA
UniRef90_A0A7C5C683	dsrA
UniRef90_A0A7C5CQZ0	dsrA
UniRef90_A0A7C5GFG9	dsrA
UniRef90_A0A7C5H0D1	dsrA
UniRef90_A0A7C5HIK0	dsrA
UniRef90_A0A7C5HVW1	dsrA
UniRef90_A0A7C5L016	dsrA
UniRef90_A0A7C5P9S4	dsrA
UniRef90_A0A7C5PT78	dsrA
UniRef90_A0A7C5QRS7	dsrA
UniRef90_A0A7C5SD84	dsrA
UniRef90_A0A7C5T4L2	dsrA
UniRef90_A0A7C5T5R5	dsrA
UniRef90_A0A7C5T7J8	dsrA
UniRef90_A0A7C5T7P2	dsrA
UniRef90_A0A7C5UXY1	dsrA
UniRef90_A0A7C5VYJ1	dsrA
UniRef90_A0A7C5WFR2	dsrA
UniRef90_A0A7C6A1S5	dsrA
UniRef90_A0A7C6FA70	dsrA
UniRef90_A0A7C6QK16	dsrA
UniRef90_A0A7C7CB95	dsrA
UniRef90_A0A7C7R8D5	dsrA
UniRef90_A0A7C7RDD8	dsrA
UniRef90_A0A7C7TWT5	dsrA
UniRef90_A0A7C7UER8	dsrA
UniRef90_A0A7C7V1K8	dsrA
UniRef90_A0A7C7YXY0	dsrA
UniRef90_A0A7C8A7S4	dsrA
UniRef90_A0A7C8AZP4	dsrA
UniRef90_A0A7C8MAW9	dsrA
UniRef90_A0A7C9JVS5	dsrA
UniRef90_A0A7C9MQY7	dsrA
UniRef90_A0A7C9NQ16	dsrA
UniRef90_A0A7D7ZN25	dsrA
UniRef90_A0A7G1H687	dsrA
UniRef90_A0A7G6E1T8	dsrA
UniRef90_A0A7I8MPQ8	dsrA
UniRef90_A0A7J0BRQ1	dsrA
UniRef90_A0A7J2KTZ6	dsrA
UniRef90_A0A7J2TIB6	dsrA
UniRef90_A0A7J3A2N5	dsrA
UniRef90_A0A7J3B7D0	dsrA
UniRef90_A0A7J3M3J5	dsrA
UniRef90_A0A7J3TBR5	dsrA
UniRef90_A0A7J4EQJ7	dsrA
UniRef90_A0A7J5VU26	dsrA
UniRef90_A0A7J5WEU0	dsrA
UniRef90_A0A7K1KP13	dsrA
UniRef90_A0A7K3NMC7	dsrA
UniRef90_A0A7L5YFQ0	dsrA
UniRef90_A0A7L6AVH7	dsrA
UniRef90_A0A7M1I435	dsrA
UniRef90_A0A7M1I481	dsrA
UniRef90_A0A7T5VCS7	dsrA
UniRef90_A0A7U3YPL3	dsrA
UniRef90_A0A7U6GKJ7	dsrA
UniRef90_A0A7U6Y5Q3	dsrA
UniRef90_A0A7V0IWQ0	dsrA
UniRef90_A0A7V0YHK2	dsrA
UniRef90_A0A7V1F6Z4	dsrA
UniRef90_A0A7V1FVM6	dsrA
UniRef90_A0A7V1I260	dsrA
UniRef90_A0A7V1IC73	dsrA
UniRef90_A0A7V1JDG2	dsrA
UniRef90_A0A7V1ZX64	dsrA
UniRef90_A0A7V2JQ68	dsrA
UniRef90_A0A7V2NL79	dsrA
UniRef90_A0A7V2SYT5	dsrA
UniRef90_A0A7V2T4R1	dsrA
UniRef90_A0A7V2T4R2	dsrA
UniRef90_A0A7V2Z0R9	dsrA
UniRef90_A0A7V3K1U5	dsrA
UniRef90_A0A7V3VK28	dsrA
UniRef90_A0A7V3W895	dsrA
UniRef90_A0A7V4L9G0	dsrA
UniRef90_A0A7V4SMH5	dsrA
UniRef90_A0A7V5C4H8	dsrA
UniRef90_A0A7V5GSZ2	dsrA
UniRef90_A0A7V5K3F0	dsrA
UniRef90_A0A7V5KBC5	dsrA
UniRef90_A0A7V5U2H1	dsrA
UniRef90_A0A7V5ZH13	dsrA
UniRef90_A0A7V6A189	dsrA
UniRef90_A0A7V6B6J6	dsrA
UniRef90_A0A7V6D2L4	dsrA
UniRef90_A0A7V6GB60	dsrA
UniRef90_A0A7V7DET6	dsrA
UniRef90_A0A7V8BE27	dsrA
UniRef90_A0A7V8BY79	dsrA
UniRef90_A0A7V8INS6	dsrA
UniRef90_A0A7W0C5W4	dsrA
UniRef90_A0A7W0EN37	dsrA
UniRef90_A0A7W0ERS3	dsrA
UniRef90_A0A7W0IQ26	dsrA
UniRef90_A0A7W0IYE5	dsrA
UniRef90_A0A7X1L7L4	dsrA
UniRef90_A0A7X6X5Q4	dsrA
UniRef90_A0A7X7LPU6	dsrA
UniRef90_A0A7X7Y8U7	dsrA
UniRef90_A0A7X8H5Q9	dsrA
UniRef90_A0A7X8MNL6	dsrA
UniRef90_A0A7X9FMQ5	dsrA
UniRef90_A0A7X9JXU1	dsrA
UniRef90_A0A7Y0C5I4	dsrA
UniRef90_A0A7Y0THV9	dsrA
UniRef90_A0A7Y2UD13	dsrA
UniRef90_A0A7Y3DPI7	dsrA
UniRef90_A0A7Y3FGZ2	dsrA
UniRef90_A0A7Y5SPN9	dsrA
UniRef90_A0A7Y8HV60	dsrA
UniRef90_A0A7Y8JCZ4	dsrA
UniRef90_A0A7Y8KYR2	dsrA
UniRef90_A0A7Y8LP04	dsrA
UniRef90_A0A7Z0VK58	dsrA
UniRef90_A0A7Z0VKD1	dsrA
UniRef90_A0A7Z1TU42	dsrA
UniRef90_A0A7Z9WDN0	dsrA
UniRef90_A0A7Z9YWB3	dsrA
UniRef90_A0A800BPQ4	dsrA
UniRef90_A0A800BR08	dsrA
UniRef90_A0A829ZRX3	dsrA
UniRef90_A0A830GTB4	dsrA
UniRef90_A0A831RKI2	dsrA
UniRef90_A0A831W214	dsrA
UniRef90_A0A831W6S2	dsrA
UniRef90_A0A832ALJ4	dsrA
UniRef90_A0A832DDU6	dsrA
UniRef90_A0A832J1G3	dsrA
UniRef90_A0A832QW30	dsrA
UniRef90_A0A832Z029	dsrA
UniRef90_A0A832Z1I6	dsrA
UniRef90_A0A833DSM3	dsrA
UniRef90_A0A833GGE2	dsrA
UniRef90_A0A836S7W6	dsrA
UniRef90_A0A836WUM1	dsrA
UniRef90_A0A838LZF1	dsrA
UniRef90_A0A843HZG4	dsrA
UniRef90_A0A846P6D8	dsrA
UniRef90_A0A846ZY87	dsrA
UniRef90_A0A847JL93	dsrA
UniRef90_A0A847QKL5	dsrA
UniRef90_A0A847QLT3	dsrA
UniRef90_A0A847VFA3	dsrA
UniRef90_A0A848YUM9	dsrA
UniRef90_A0A849EQK4	dsrA
UniRef90_A0A849IN80	dsrA
UniRef90_A0A8A3X7V5	dsrA
UniRef90_A0A8A3Y689	dsrA
UniRef90_A0A8F1WLE9	dsrA
UniRef90_A0A8F7ZD57	dsrA
UniRef90_A0A8I0SW80	dsrA
UniRef90_A0A8I1SX25	dsrA
UniRef90_A0AAW4	dsrA
UniRef90_A0AAW6	dsrA
UniRef90_A0AAW8	dsrA
UniRef90_A0AAX2	dsrA
UniRef90_A0AAX8	dsrA
UniRef90_A0AAY0	dsrA
UniRef90_A0AAY2	dsrA
UniRef90_A0AAY4	dsrA
UniRef90_A0AAY6	dsrA
UniRef90_A0AAZ2	dsrA
UniRef90_A0AAZ4	dsrA
UniRef90_A0AAZ6	dsrA
UniRef90_A0AAZ8	dsrA
UniRef90_A0AB00	dsrA
UniRef90_A0AB02	dsrA
UniRef90_A0AB04	dsrA
UniRef90_A0AB06	dsrA
UniRef90_A0AB08	dsrA
UniRef90_A0L9L4	dsrA
UniRef90_A1BCS1	dsrA
UniRef90_A1DW65	dsrA
UniRef90_A1DW67	dsrA
UniRef90_A1DW69	dsrA
UniRef90_A1DW81	dsrA
UniRef90_A1DW83	dsrA
UniRef90_A1DW85	dsrA
UniRef90_A1DW95	dsrA
UniRef90_A1DWA5	dsrA
UniRef90_A1DWA7	dsrA
UniRef90_A1DWA9	dsrA
UniRef90_A1DWB1	dsrA
UniRef90_A1DWB5	dsrA
UniRef90_A1DWB7	dsrA
UniRef90_A1DWC1	dsrA
UniRef90_A1DWC7	dsrA
UniRef90_A1DWD3	dsrA
UniRef90_A1DWD9	dsrA
UniRef90_A1DWE1	dsrA
UniRef90_A1DWE5	dsrA
UniRef90_A1DWE9	dsrA
UniRef90_A1DWF1	dsrA
UniRef90_A1DWF9	dsrA
UniRef90_A1DWG1	dsrA
UniRef90_A1DWG3	dsrA
UniRef90_A1DWG7	dsrA
UniRef90_A1DWG9	dsrA
UniRef90_A1DWH7	dsrA
UniRef90_A1DWI1	dsrA
UniRef90_A1DWJ5	dsrA
UniRef90_A1DWJ7	dsrA
UniRef90_A1DWK1	dsrA
UniRef90_A1HQ02	dsrA
UniRef90_A1IHP1	dsrA
UniRef90_A1IHQ0	dsrA
UniRef90_A1IHQ8	dsrA
UniRef90_A1IHR3	dsrA
UniRef90_A1IHR4	dsrA
UniRef90_A1IHR5	dsrA
UniRef90_A1WYF3	dsrA
UniRef90_A1Z1D8	dsrA
UniRef90_A1Z1E0	dsrA
UniRef90_A3MW49	dsrA
UniRef90_A3MW60	dsrA
UniRef90_A4FS39	dsrA
UniRef90_A4GTT7	dsrA
UniRef90_A4GTU7	dsrA
UniRef90_A4J9D6	dsrA
UniRef90_A4K341	dsrA
UniRef90_A4K345	dsrA
UniRef90_A4V8Y6	dsrA
UniRef90_A4V8Y8	dsrA
UniRef90_A4V8Z2	dsrA
UniRef90_A4V8Z6	dsrA
UniRef90_A4V8Z8	dsrA
UniRef90_A4V904	dsrA
UniRef90_A4V906	dsrA
UniRef90_A6BLP4	dsrA
UniRef90_A6YRN0	dsrA
UniRef90_A6YRN2	dsrA
UniRef90_A7M6A2	dsrA
UniRef90_A7M6A3	dsrA
UniRef90_A8I565	dsrA
UniRef90_A8I569	dsrA
UniRef90_A8I579	dsrA
UniRef90_A8W307	dsrA
UniRef90_A8W311	dsrA
UniRef90_A8W313	dsrA
UniRef90_A8W679	dsrA
UniRef90_A8W680	dsrA
UniRef90_A8W690	dsrA
UniRef90_A8W692	dsrA
UniRef90_A8W694	dsrA
UniRef90_A8W6C5	dsrA
UniRef90_A8W6D5	dsrA
UniRef90_A8W6E0	dsrA
UniRef90_A8W6E2	dsrA
UniRef90_A8W6E3	dsrA
UniRef90_A8W6E7	dsrA
UniRef90_A8W6E9	dsrA
UniRef90_A8W6G1	dsrA
UniRef90_A8W6G6	dsrA
UniRef90_A8W6H6	dsrA
UniRef90_A8W6H7	dsrA
UniRef90_A8W6I5	dsrA
UniRef90_A8W6J1	dsrA
UniRef90_A8W6K1	dsrA
UniRef90_A8W6K2	dsrA
UniRef90_A8W6K4	dsrA
UniRef90_A8W6K8	dsrA
UniRef90_A8W6L9	dsrA
UniRef90_A8W6M1	dsrA
UniRef90_A8W6N0	dsrA
UniRef90_A8W6N5	dsrA
UniRef90_A8W6R1	dsrA
UniRef90_A8W6T1	dsrA
UniRef90_A8W6Y1	dsrA
UniRef90_A8W6Y2	dsrA
UniRef90_A8W6Y3	dsrA
UniRef90_A8W6Y4	dsrA
UniRef90_A8W6Y6	dsrA
UniRef90_A8W6Y7	dsrA
UniRef90_A8W6Z6	dsrA
UniRef90_A8ZX93	dsrA
UniRef90_A9CSW3	dsrA
UniRef90_B0L969	dsrA
UniRef90_B0L973	dsrA
UniRef90_B0L981	dsrA
UniRef90_B0L9B5	dsrA
UniRef90_B0L9C7	dsrA
UniRef90_B0L9E3	dsrA
UniRef90_B0L9E9	dsrA
UniRef90_B0L9F9	dsrA
UniRef90_B0LN57	dsrA
UniRef90_B0LN67	dsrA
UniRef90_B1AAN6	dsrA
UniRef90_B1I6P0	dsrA
UniRef90_B1PVT9	dsrA
UniRef90_B2KYH7	dsrA
UniRef90_B2KYI0	dsrA
UniRef90_B2YHG2	dsrA
UniRef90_B3EHJ7	dsrA
UniRef90_B3ELT3	dsrA
UniRef90_B3VMT0	dsrA
UniRef90_B3VMU1	dsrA
UniRef90_B3VMU2	dsrA
UniRef90_B3VMU3	dsrA
UniRef90_B3Y9E3	dsrA
UniRef90_B3Y9E5	dsrA
UniRef90_B3Y9E9	dsrA
UniRef90_B3Y9F1	dsrA
UniRef90_B3Y9F3	dsrA
UniRef90_B4SE97	dsrA
UniRef90_B5TKC4	dsrA
UniRef90_B5YIF2	dsrA
UniRef90_B6CNP7	dsrA
UniRef90_B6CNR1	dsrA
UniRef90_B6CNR3	dsrA
UniRef90_B6CNR9	dsrA
UniRef90_B6RG05	dsrA
UniRef90_B6RG08	dsrA
UniRef90_B6RG16	dsrA
UniRef90_B6RG17	dsrA
UniRef90_B6RG20	dsrA
UniRef90_B6RG25	dsrA
UniRef90_B6RG32	dsrA
UniRef90_B6RG37	dsrA
UniRef90_B6RG41	dsrA
UniRef90_B6RG63	dsrA
UniRef90_B6RG66	dsrA
UniRef90_B6V355	dsrA
UniRef90_B6VHL5	dsrA
UniRef90_B6VHP0	dsrA
UniRef90_B6VHQ0	dsrA
UniRef90_B6VHR0	dsrA
UniRef90_B6VHR2	dsrA
UniRef90_B6VHT3	dsrA
UniRef90_B6VHT4	dsrA
UniRef90_B6VHU6	dsrA
UniRef90_B6VHV3	dsrA
UniRef90_B6VHW1	dsrA
UniRef90_B6VHY3	dsrA
UniRef90_B6VHY7	dsrA
UniRef90_B6VHZ6	dsrA
UniRef90_B6VI43	dsrA
UniRef90_B6VI46	dsrA
UniRef90_B6VI67	dsrA
UniRef90_B6VI69	dsrA
UniRef90_B6VI71	dsrA
UniRef90_B6VI81	dsrA
UniRef90_B6VI82	dsrA
UniRef90_B6VI84	dsrA
UniRef90_B6VI85	dsrA
UniRef90_B6VI96	dsrA
UniRef90_B6VI97	dsrA
UniRef90_B6VIC2	dsrA
UniRef90_B6VIE6	dsrA
UniRef90_B6VIF0	dsrA
UniRef90_B6VIG8	dsrA
UniRef90_B6VNV9	dsrA
UniRef90_B6VNW9	dsrA
UniRef90_B6VNX3	dsrA
UniRef90_B6VNX8	dsrA
UniRef90_B6VNY0	dsrA
UniRef90_B6WV03	dsrA
UniRef90_B8GUE5	dsrA
UniRef90_B8ZV05	dsrA
UniRef90_B8ZVB3	dsrA
UniRef90_B8ZVC1	dsrA
UniRef90_B8ZVC5	dsrA
UniRef90_B8ZVE9	dsrA
UniRef90_B8ZVF7	dsrA
UniRef90_B8ZVG1	dsrA
UniRef90_B8ZVG5	dsrA
UniRef90_B8ZVG9	dsrA
UniRef90_B8ZVI5	dsrA
UniRef90_B8ZVI9	dsrA
UniRef90_B8ZVJ3	dsrA
UniRef90_B8ZVJ9	dsrA
UniRef90_B8ZVK3	dsrA
UniRef90_B8ZVL1	dsrA
UniRef90_B8ZVL3	dsrA
UniRef90_B8ZVM3	dsrA
UniRef90_B8ZVN3	dsrA
UniRef90_B8ZVN9	dsrA
UniRef90_B8ZVP5	dsrA
UniRef90_B8ZVP7	dsrA
UniRef90_B8ZVP9	dsrA
UniRef90_B8ZVQ9	dsrA
UniRef90_B8ZVR1	dsrA
UniRef90_B8ZVR5	dsrA
UniRef90_B8ZVS9	dsrA
UniRef90_B8ZVT5	dsrA
UniRef90_B8ZVU1	dsrA
UniRef90_B8ZVU3	dsrA
UniRef90_B8ZVU9	dsrA
UniRef90_B8ZVV3	dsrA
UniRef90_B8ZVY5	dsrA
UniRef90_B8ZW23	dsrA
UniRef90_B8ZW31	dsrA
UniRef90_B9V4F9	dsrA
UniRef90_B9V4G4	dsrA
UniRef90_B9V4G5	dsrA
UniRef90_B9V4G6	dsrA
UniRef90_B9V4G8	dsrA
UniRef90_B9V4H1	dsrA
UniRef90_B9V4H7	dsrA
UniRef90_B9V4I4	dsrA
UniRef90_B9V4I7	dsrA
UniRef90_B9V4J4	dsrA
UniRef90_B9VPJ4	dsrA
UniRef90_B9VPJ6	dsrA
UniRef90_B9VPK6	dsrA
UniRef90_B9VPK8	dsrA
UniRef90_B9VPL0	dsrA
UniRef90_C0JUH1	dsrA
UniRef90_C0JUH2	dsrA
UniRef90_C0JUH3	dsrA
UniRef90_C0JUH4	dsrA
UniRef90_C0JUH5	dsrA
UniRef90_C0JUH6	dsrA
UniRef90_C0JUH7	dsrA
UniRef90_C0JUH8	dsrA
UniRef90_C0JUH9	dsrA
UniRef90_C0JUI0	dsrA
UniRef90_C0JUI1	dsrA
UniRef90_C0JUI2	dsrA
UniRef90_C0JUI3	dsrA
UniRef90_C0JUI4	dsrA
UniRef90_C0JUI5	dsrA
UniRef90_C0JUI6	dsrA
UniRef90_C0JUI7	dsrA
UniRef90_C0JUI9	dsrA
UniRef90_C0KZ36	dsrA
UniRef90_C0LNI3	dsrA
UniRef90_C0LNI9	dsrA
UniRef90_C0LNJ1	dsrA
UniRef90_C0LNJ3	dsrA
UniRef90_C0LNJ7	dsrA
UniRef90_C0LNJ9	dsrA
UniRef90_C0LNK5	dsrA
UniRef90_C0LNL1	dsrA
UniRef90_C0LNL7	dsrA
UniRef90_C0LNL9	dsrA
UniRef90_C0LNM7	dsrA
UniRef90_C0LNN1	dsrA
UniRef90_C0LNN3	dsrA
UniRef90_C0LNN7	dsrA
UniRef90_C0LNP1	dsrA
UniRef90_C0LNP3	dsrA
UniRef90_C0LNP5	dsrA
UniRef90_C0LNP7	dsrA
UniRef90_C0LNP9	dsrA
UniRef90_C0LNQ1	dsrA
UniRef90_C0QD64	dsrA
UniRef90_C1KBC8	dsrA
UniRef90_C1KBD2	dsrA
UniRef90_C1KBD4	dsrA
UniRef90_C1KBD8	dsrA
UniRef90_C3UZB3	dsrA
UniRef90_C3UZB7	dsrA
UniRef90_C3W7B1	dsrA
UniRef90_C3W7B5	dsrA
UniRef90_C3W7B7	dsrA
UniRef90_C3W7B9	dsrA
UniRef90_C3W7C1	dsrA
UniRef90_C3W7C3	dsrA
UniRef90_C3W7C5	dsrA
UniRef90_C3W7C7	dsrA
UniRef90_C3W7D3	dsrA
UniRef90_C3W7D7	dsrA
UniRef90_C3W7D9	dsrA
UniRef90_C3W7E1	dsrA
UniRef90_C3W7E3	dsrA
UniRef90_C3W7E5	dsrA
UniRef90_C3W7E7	dsrA
UniRef90_C3W7E9	dsrA
UniRef90_C3W7F1	dsrA
UniRef90_C3W7F5	dsrA
UniRef90_C3W7F9	dsrA
UniRef90_C3W7G1	dsrA
UniRef90_C3W8Y2	dsrA
UniRef90_C3W8Y5	dsrA
UniRef90_C4P898	dsrA
UniRef90_C4P8A0	dsrA
UniRef90_C4P8A2	dsrA
UniRef90_C4P8A5	dsrA
