"Site__","Year__","Interval","Start_Date","End_Date","Sampling_Date","samplingdate_mean_AirTemperature","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","n_AirTemperature","median_AirTemperature","mean_AirTemperature","sd_AirTemperature","n_WTD","median_WTD","mean_WTD","sd_WTD","n_ALD","median_ALD","mean_ALD","sd_ALD"
"Sphagnum Autochamber Site",2016,"growing",2016-06-01,2016-07-26,2016-07-26,17.1,11.86,23.3,56,9.42,10.0523214285714,4.24844313348332,7,-2,-3.10714285714286,2.48267808549366,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"growing",2017-06-01,2017-07-21,2017-07-21,10.39,3.21,16.87,51,8.88,9.46019607843137,3.27711488367196,7,-4,-4.16666666666667,0.822147143719375,2,-27.1666666666667,-27.1666666666667,1.17851130197758
"Eriophorum Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,61,10,11.1803278688525,2.88968393151288,60,-130,-122.616666666667,25.6512408704158
"Eriophorum Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,39,14,12.2820512820513,6.81213591184964,40,-130,-114.2625,37.941754872706
"Eriophorum Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-24,16.2,9.5,22.9,122,10.6,10.5909836065574,3.31951415588697,60,10,10.5283333333333,2.38050640294524,10,-34.75,-35.15,3.68970037928405
"Eriophorum Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-17,13.2,10.9,15.6,122,9.95,10.6754098360656,5.01187534349623,30,8,7.7,2.94957624075052,3,-23,-58.6666666666667,61.77647880329
"Eriophorum Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-15,13.09,6.22,19.13,121,9.4,9.51950413223141,2.77891401187576,47,10,9.44468085106383,3.55520491127404,4,-26.75,-26.25,1.93649167310371
"Eriophorum Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-23,18.52,12.7,25.84,122,9.05,9.52672131147541,3.38656227425295,8,10.25,12.25,4.37525509460387,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-24,13.58,6.88,19.4,122,8.745,9.10565573770492,3.5268823560237,17,10,10.0588235294118,0.863900184866148,0,NA,NA,NA
"Palsa Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,0,NA,NA,NA,60,-41,-40.1183333333333,10.5852230173806
"Palsa Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,0,NA,NA,NA,40,-31,-30.325,6.41167804748612
"Palsa Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-25,16.2,9.1,22.2,122,10.6,10.5909836065574,3.31951415588697,0,NA,NA,NA,60,-40,-40.5416666666667,10.5204770734557
"Palsa Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-19,16.9,10.5,21.9,122,9.95,10.6754098360656,5.01187534349623,0,NA,NA,NA,30,-34.25,-36.8166666666667,11.9249111421061
"Palsa Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-15,13.09,6.22,19.13,121,9.4,9.51950413223141,2.77891401187576,0,NA,NA,NA,56,-34,-35.2607142857143,11.3059063980081
"Palsa Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-24,16.31,12.93,20.76,122,9.05,9.52672131147541,3.38656227425295,0,NA,NA,NA,11,-33,-38.2727272727273,15.1614043484824
"Palsa Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-20,8.51,3.53,12.82,122,8.745,9.10565573770492,3.5268823560237,0,NA,NA,NA,17,-31,-29.8352941176471,5.39258068744347
"Sphagnum Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,61,-8.33333333333333,-9.03551912568306,5.31203340034561,61,-105,-93.0786885245902,41.3926200180065
"Sphagnum Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,40,-3,-3.70833333333333,2.8908811342208,40,-37.0833333333333,-51.5875,36.0246628779519
"Sphagnum Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-25,16.2,9.1,22.2,122,10.6,10.5909836065574,3.31951415588697,60,-10,-8.91944444444444,3.86598616487347,35,-42.5,-43.0785714285714,12.6006396840866
"Sphagnum Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-16,16.1,12.9,19.1,122,9.95,10.6754098360656,5.01187534349623,30,-11.1666666666667,-11.51,5.38704384419789,15,-29.25,-30.3388888888889,8.2033594228283
"Sphagnum Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-14,13.69,6.26,19.07,121,9.4,9.51950413223141,2.77891401187576,56,-5.5,-6.04136904761905,3.38194850158724,33,-31.6666666666667,-31.6477777777778,7.71502140788177
"Sphagnum Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-26,17.1,11.86,23.3,122,9.05,9.52672131147541,3.38656227425295,9,-1.75,-2.75925925925926,2.26056333796208,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-21,10.39,3.21,16.87,122,8.745,9.10565573770492,3.5268823560237,17,-4.33333333333333,-4.77450980392157,1.08803654782905,2,-27.1666666666667,-27.1666666666667,1.17851130197758
